Строка поиска	Translation
Не смог получить строку сценария.	Не бях в състояние да получи ред на скрипта.
Не смог получить строку таблицы %1	Не бях в състояние да получи ред от таблица, %1
Не смог получить форму текущего окна.	Не бях в състояние да получи под формата на текущия прозорец.
Не смог ПолучитьГлавноеОкноТестируемогоПриложения.	Не успя да ПолучитьГлавноеОкноТестируемогоПриложения.
Не смог поменять параметры шага местами <%1>	Не успя да промените настройките стъпки места <%1>
Не смог преобразовать к числу PID=%1	Не бях в състояние да конвертирате сред PID=%1
Не смог распаковать %1	Не успя да разопаковам %1
Не смог сделать выбрать из списка выбора <%1> по строке <%2>	Не успя да изберете от списъка изберете <%1> ред <%2>
Не смог скопировать сценарий %1, т.к. произошло бы зацикливание.	Не бях в състояние да копирате скрипт %1, т. к. би се случило цикъл.
Не смог создать базу по строке: %1. Статус возврата: %2	Не можа да се създаде база по ред: %1. Статус на връщане: %2
Не смог создать каталог для отчета Allure: %1	Не може да създаде директорията за доклада на Allure: %1
Не смог создать каталог для отчета CucumberJson: %1	Не може да създаде директорията за доклада CucumberJson: %1
Не смог создать каталог для отчета jUnit: %1	Не може да създаде директорията за доклада на jUnit: %1
Не смог создать объект сравнения файлов.	Не може да създаде на обекта на сравняване на файлове.
Не смог создать сервисные базы. Статус=%1	Не може да създаде сервизни бази. Статус=%1
Не смог удалить файл %1	Не бях в състояние да премахне файл %1
Не смогли найти таблицу <%1> в активном окне.	Не можах да намеря таблица <%1> в активния прозорец.
Не стал загружать фичу: %1, т.к. в ней не найдено тегов фильтров.	Не става качването на фичу: %1, т. к. в нея не са открити етикети филтри.
Не стал загружать фичу: %1, т.к. обнаружен тег исключение: %2	Не става качването на фичу: %1, т. к. е открит етикет изключение: %2
Не удалось авторизоваться в базе.	Не успя да влезете в базата.
Не удалось дождаться события завершения цикла в течение <%1> секунд.	Не успя да изчака събитие завършване на цикъл в продължение на <%1> секунди.
Не удалось найти документ по номеру <%1>. Тип Документ.%2	Не успя да намери документ по номер <%1>. Вид На Документа.%2
Не удалось перейти к нужной строке в таблице <%1>. %2	Не успя да преминете към правилната ред в таблица <%1>. %2
Не удалось подключить COM объект <Shell.Application>	Не успя да се свърже COM обект <Shell.Application>
Не удалось подключить COM объект <WScript.Shell>	Не успя да се свърже COM обект <WScript.Shell>
Не удалось подключить клиент тестирования. %1	Не успя да се свърже клиент тестване. %1
Не удалось подключить форма %1 по причине:%2	Не успя да се свърже форма %1 причина:%2
Не удалось получить таймаут для запуска TestClient из значения %1. Используется значение по умолчанию: 25	Не може да се получи изчакване, за да стартирате TestClient от стойността %1. Се използва стойност по подразбиране: 25
Не удалось получить таймаут для работы асинхронных шагов. Было передано значение: %1	Не може да се получи изчакване за работа на асинхронни стъпки. Е прехвърлена на стойност: %1
Не указан каталог для формирования видео инструкции.	Не е указана директория за формиране на видео инструкции.
Не указан каталог с нужной версией платформы 8.3.10 или выше.	Не е указана директория с необходимата версия на платформата 8.3.10 или по-висока.
Не указана команада для выполнения скриншотов. Например <%1>	Не е команада за изпълнение на скрийншотове. Например <%1>
Не указано имя файла лога в параметре <ИмяКаталогаЛогОшибок>	Не е указано име на файл регистър в параметъра <ИмяКаталогаЛогОшибок>
Не указано имя файла лога в параметре <ИмяФайлаЛогВыполненияСценариев>	Не е указано име на файл регистър в параметъра <ИмяФайлаЛогВыполненияСценариев>
Не указано количество кадров.	Не е посочено броя на кадрите.
Не установлен ffmpeg.	Не е инсталиран ffmpeg.
Не установлен ImageMagic (convert.exe)	Не е ImageMagic (convert.exe)
Не установлен ImageMagic (convert.exe).	Не е ImageMagic (convert.exe).
Не установлен oscript.	Не е oscript.
Не установлен VLC 2.1.5.	Не е инсталиран VLC 2.1.5.
Не установлен ГолосовойДвижок.	Не е ГолосовойДвижок.
Неверно задан макет. Неверная колонка в первой строке. Не указана обязательная колонка с именем [%1]	Неправилно зададен макет. Невалидна колона на първия ред. Не е задължително колона с име [%1]
Неверное число параметров в строке табилцы. Должно быть <	Неправилен брой параметри в ред табилцы. Трябва да бъде <
Неверное число параметров в строке таблицы. Должно быть <%1> параметров, а в строке найдено <%2>.	Неправилен брой параметри в ред на таблицата. Трябва да бъде <%1> параметри, както и ред found <%2>.
Неверный режим поиска: Не поддерживаемый режим поиска. Реквизит <%1>: Искали значение <%2>	Неправилен режим на търсене: Не поддържан режим на търсене. Подпори <%1>: Търси стойността на <%2>
Неверный формат области <%1>	Невалиден формат областта на <%1>
Невидима	Невидимо
Недоступна	Услугата е недостъпна
Неивестный ТипПараметра в ПолучитьАсинхроноСостоянияОбъектовФайловойСистемы: %1	Неивестный ТипПараметра в ПолучитьАсинхроноСостоянияОбъектовфайловойсистемы: %1
Неизвестная версия поставки Vanessa-Automation: %1	Неизвестна версия на доставка Ванеса-Автоматика: %1
Неизвестная ошибка в ПолучитьРезультатПрохожденияТестовСценария.	Неизвестна грешка в ПолучитьРезультатПрохожденияТестовсценария.
НеизвестнаяОшибка	НеизвестнаяОшибка
Неизвестный идентификатор плагина: <%1>	Неизвестен идентификатор на plug-in: <%1>
Неизвестный КорневойТипКонфигурации <%1>	Неизвестен КорневойТипКонфигурации <%1>
Неизвестный КорневойТипКонфигурации <%1> КорневойТипКонфигурации()	Неизвестен КорневойТипКонфигурации <%1> КорневойТипКонфигурации()
Неизвестный менеджер регистра %1.%2 . Переменная %3	Неизвестен мениджър на букви %1.%2 . Променливата %3
Неизвестный тип вывода данных по изменению формы.	Неизвестен тип за извеждане на данни за промяната на формата.
Неизвестный Тип: %1 в ПолучитьЗначениеДляПередачиВМетод	Непознат файлов Тип: %1 ПолучитьЗначениеДляПередачиВМетод
Нельзя изменять текущее поле у зарезервированного подключения <Этот клиент>.	Не могат да се редактират даде визуална представа за настоящите полето запазен свържете <клиентът>.
Нельзя получить состав колонок для пустой таблицы.	Не можем да състава на колони, за да изчистите таблицата.
Необрабатываемый корневой тип <%1>	Необрабатываемый главната вид <%1>
Необходимо установить программное обеспечение. Подробности тут: %1	Трябва да инсталирате софтуера. Подробности тук: %1
НеСовпадаютЗначенияВЯчейкеТаблицы	НеСовпадаютЗначенияВЯчейкеТаблицы
Нет подключенных TestClient.	Няма свързани TestClient.
Обнаружено несколько полей с заголовком <%1>	Открити няколко полета със заглавие <%1>
Обычная фича №%1 из %2. РаннерID=%3. %4	Нормалната функция на # %1 от %2. РаннерID=%3. %4
Одна или несколько строк эталонной таблицы не найдена в таблице формы%1	Един или повече редове в таблицата не е намерена в таблицата на форма%1
Однопоточная фича №%1 из %2. РаннерID=%3. %4	Однопоточная функция на # %1 от %2. РаннерID=%3. %4
Ожидали <%1> элементов справочника <%2>, а нашли <%3> элементов.	Очаква <%1> елементи указател <%2>, а са намерили <%3> елементи.
Ожидали в течение <%1> секунд доступности поля <%2>. Но такой элемент на форме не найден.	Очаква се в рамките на <%1> секунди достъпност на полето <%2>. Но като елемент на формата не е намерен.
Ожидали в течение <%1> секунд доступности поля <%2>. ТекущаяДоступность=%3	Очаква се в рамките на <%1> секунди достъпност на полето <%2>. ТекущаяДоступность=%3
Ожидали в течение <%1> секунд появления поля <%2>. Но такой элемент на форме не найден.	Очаква се в рамките на <%1> секунди появата на полето <%2>. Но като елемент на формата не е намерен.
Ожидали в течение <%1> секунд появления поля <%2>. ТекущаяВидимость=%3	Очаква се в рамките на <%1> секунди появата на полето <%2>. ТекущаяВидимость=%3
Ожидали в течение <%1> секунд у поля <%2> значения <%3>. Текущее значение <%4>	Очаква се в рамките на <%1> секунди от полета за <%2> стойността на <%3>. Текущата стойност на <%4>
Ожидали в течение <%1> секунд у таблицы <%2> количество строк %3 %4. Текущее количество строк <%5>	Очаква се в рамките на <%1> секунди таблица <%2> брой редове %3 %4. Настоящият брой на редовете <%5>
Ожидали в течение <%1> секунд, что закроется окно с заголовком <%2>	Очаква се в рамките на <%1> секунди, което се затваря прозорец със заглавие <%2>
Ожидали в течение <%1> секунд, что откроется окно с заголовком <%2>	Очаква се в рамките на <%1> секунди, което ще се отвори прозорец със заглавие <%2>
Ожидали в течение <%1> секунд, что поле <%2> будет заполненным.	Очаква се в рамките на <%1> секунди, което е поле за <%2> ще бъде попълнен.
Ожидали заполненность ссылки, а получили пустую ссылку.%1	Очаква заполненность връзки, а са получили празна връзка.%1
Ожидали идентичность файлов, а получили, что они различны.%1	Очаква идентичност на файлове, а получихме, че те са различни.%1
Ожидали получить только одну строку таблицы.	Очаква да получи само един ред от таблица.
Ожидали статус <%1>, а получили <%2>	Очаква статут на <%1>, а имам <%2>
Ожидали существование объекта в ИБ, а получили объект не найден <%1> .%2	Очаква съществуване на обекта в IB, и имам обектът не е открит <%1> .%2
Ожидали у таблицы <%1> в течение <%2> секунд у поля <%3> значения <%4>. Текущее значение <%5>.	Очаква имам таблица <%1> в рамките на <%2> секунди от полета за <%3> стойността на <%4>. Текущата стойност на <%5>.
Ожидали, что %1 %2 выбросит исключение %3 %4	Очаква %1 %2 ще хвърли изключение %3 %4
Ожидали, что активным окном будет <%1>, а нашли <%2>. Таймаут поиска окна: %3	Очаквали, че в активния в момента прозорец ще <%1>, а са намерили <%2>. Изчакване за търсене на windows: %3
Ожидали, что в сообщениях пользователю будет подстрока <%1>	Очаквах, че в съобщенията на потребителя, ще бъде подниз <%1>
Ожидали, что вторым параметром будет передан массив параметров для метода <%1>, а получили другой объект с типом <%2>	Очаквали, че вторият параметър ще бъде предаден на множество параметри за метода на <%1>, а имам друг обект от тип <%2>
Ожидали, что вторым параметром будет передана структура параметров для метода <СоздатьДанныеПоТабличномуДокументу>, а получили другой объект с типом <%1>	Очаквали, че вторият параметър ще бъде прехвърлена на структурата на параметри за метода <СоздатьДанныеПоТабличномуДокументу>, а имам друг обект от тип <%1>
Ожидали, что количество строк таблицы <%1> будет равно переменной <%2>. Значение переменной <%3>. Количество строк <%4>	Очаква се, че броят на редовете на таблицата <%1> ще се равнява на променливата <%2>. Стойността на променливата <%3>. Броят на редовете <%4>
Ожидали, что окно сообщений пользователю будет пустое. В нём %1 сообщений.	Очаквали, че на прозореца за съобщения на потребителя, ще бъде празно, а в него може да е %1 за съобщения.
Ожидали, что переменная <%1> будет равна <%2>. Текущее значение <%3>	Очаквали, че променливата <%1> ще бъде равен на <%2>. Текущата стойност на <%3>
Ожидали, что поле <%1> будет равно переменной <%2>. Значение переменной <%3>. ЗначениеПоля <%4>	Очаква се, че полето за <%1> ще се равнява на променливата <%2>. Стойността на променливата <%3>. ЗначениеПоля <%4>
Ожидали, что поле с заголовком <%1> будет заполнено, но оно пустое.	Очаква се, че областта със заглавие <%1> ще бъде изпълнен, но то е празно.
Ожидали, что проверяемое значение (%1) %2 %3 %4	Очаквали, че проверяемое стойност (%1) %2 %3 %4
Ожидали, что третьим параметром будет передан массив параметров для метода <%1>, а получили другой объект с типом <%2>	Очаквали, че третият параметър ще бъде предаден на множество параметри за метода на <%1>, а имам друг обект от тип <%2>
Ожидали, что у группы <%1> текущей страницей будет <%2>, а оказалась <%3>	Очаквахме, че от групата на <%1> на текущата страница ще бъде <%2>, а се оказа <%3>
Ожидали, что у табличного документа <%1> в ячейке с адресом <%2> будет значение <%3>, а получили <%4>	Очаква се, че таблицата на документа <%1> в клетка с адрес <%2> ще се стойността на <%3>, а имам <%4>
Ожидали, что у табличного документа <%1> в ячейке с адресом <%2> будет значение <%3>, а получили <%4>	Очаква се, че таблицата на документа <%1> в клетка с адрес <%2> ще се стойността на <%3>, а имам <%4>
Ожидали, что у табличного документа <%1> в ячейке с адресом <%2> будет значение <%3>, а получили <%4>	Очаква се, че таблицата на документа <%1> в клетка с адрес <%2> ще се стойността на <%3>, а имам <%4>
Ожидали, что ячейка <%1> будет заполнена.	Очаквали, че клетка <%1> ще се напълни.
Ожидали, чтов таблице <%1> поле <%2> будет равно переменной <%3>. Значение переменной <%4>. ЗначениеПоля <%5>	Очаквали, че таблицата <%1> в полето <%2> ще се равнява на променливата <%3>. Стойността на променливата <%4>. ЗначениеПоля <%5>
Окно с заголовком <%1> не найдено.	Прозорец със заглавие <%1> не е намерен.
Описание ошибки: %1	Описание на грешката: %1
Остановка на брейкпоинте.	Спирка на брейкпоинте.
Ошибка в %1. %2	Грешка в %1. %2
Ошибка в ДобавитьStepDefinitionВТекстМодуля.	Грешка в ДобавитьStepDefinitionВТекстМодуля.
Ошибка в ПолучитьУжеСуществующиеСнипетыИзОбработок(). Файл/каталог %1 не существует.	Грешка в ПолучитьУжеСуществующиеСнипетыИзобработок(). Файл/директория %1 не съществува.
Ошибка в файле %1, снипет %2 уже был в %3	Грешка във файла %1, снипет %2 вече е в %3
Ошибка перегенерации EPF. Файл %1 не найден.	Грешка перегенерации EPF. Файл %1 не е намерена.
Ошибка при выгрузке набора записей регистра: %1	Грешка при изпълнение на набор от записи в регистъра: %1
Ошибка при выгрузке объекта: %1. Тип: %2	Грешка при изпълнение на обект: %1. Тип: %2
Ошибка при закрытии всех окон Testclient.	Грешка при затваряне на всички прозорци Testclient.
Ошибка при поиске значений в макете %1:	Грешка при търсене на стойности в структурата на %1:
Ошибка при получении активной формы.	Грешка при получаването на активната форма.
Ошибка при получении списка процессов 1С.	Грешка при получаване на списъка с процеси 1В.
Ошибка при получении текста фичи:	Грешка при получаване на текста фичи:
Ошибка при построении дерева из файла <%1>%2%3	Грешка при изграждането на дърво от файл <%1> %2 %3
Ошибка при создании данных из макета. Неуникальное имя переменной: [%1]	Грешка при създаване на база данни от оформление. Неуникальное име на променлива: [%1]
Ошибка проверки значения таблицы <%1>. %2	Неуспешна проверка на стойности на таблицата <%1>. %2
Ошибка создания временного файла в подкаталоге %1.	Грешка при създаване на временен файл в поддиректория %1.
Ошибка создания скриншота:%1 команда:%2	Грешка при създаване на скрийншота:%1 команда:%2
Ошибка создания файла %1.	Грешка при създаване на файла " %1.
Ошибка чтения JSON. Неизвестный символ %1	Грешка при четене на JSON. Неизвестен символ %1
Ошибка чтения структуры JSON пропускаем чтение	Грешка при четене на JSON структура пропуска четене
Ошибка чтения структуры JSON.	Грешка при четене на JSON структура.
Ошибка. В фиче %1 было найдено несколько сценариев с именем %2	Грешка. В фиче %1 беше установено, няколко сценарии с потребителско име %2
Ошибка. Найдено более 1 значения в кэше МетаданныеИмя [%1] по указанным параметрам поиска %2	Грешка. Откриха над 1 стойности в кеш МетаданныеИмя [%1] при определени параметри на търсене на %2
ОшибкаПроверки	ОшибкаПроверки
Параметр <Запускаемая обработка> указывает на несуществующий файл.	Параметър <предназначен за изпълнение обработка> сочи към несъществуващ файл.
Параметр <Имя подключения> является обязательным.	Параметър <Име на връзката> е задължително.
Параметр <Логин> не задан	Параметър <Потребителско име> не е зададен
Параметр %1 не найден в таблице параметров.	Задаване на %1 не е намерена в таблицата за настройки.
Первый параметр (%1) меньше второго (%2) а хотели, чтобы был больше или равен.%3	Първият параметър (%1) по-малко от секунда (%2) а е искал, да е по-голям или равен.%3
Первый параметр (%1) меньше или равен второму (%2) а хотели, чтобы был больше.%3	Първият параметър (%1) по-малък или равен на втория (%2) а е искал, да е по-голям.%3
Передан пустой путь в процедуру <СоздатьКаталогЕслиЕгоНет>.	Предаден празен път в процедурата <СоздатьКаталогЕслиЕгоНет>.
Переданная дата (%1) не равна дате (%2) с точностью до 2-х секунд, а хотели, чтобы они равнялись. %3	Предава от дата (%1) не е равен на дата (%2) с точност до 2 секунди, както е искал, да те равнялись. %3
Переданный параметр (%1) не входит в период %2, а хотели, чтобы являлся. %3	Премина параметър (%1) не е включена в период, %2, а е искал, да е бил. %3
Переданный параметр (%1) не является Истиной, а хотели, чтобы являлся. %2	Премина параметър (%1) не е Истина, а е искал, да е бил. %2
Переданный параметр (%1) не является Ложью, а хотели, чтобы являлся. %2	Премина параметър (%1) не е Лъжа, а е искал, да е бил. %2
Передвижение курсора мышки - OK	Преместването на курсора на мишката - OK
ПередВыполнениемШага: %1	ПередВыполнениемШага: %1
Переключатель с заголовком <%1> не найден.	Ключ със заглавие <%1> не е намерен.
Переключатель с именем <%1> не найден.	Ключ с име <%1> не е намерен.
Переменная <%1> не найдена.	Променлива <%1> не е намерен.
Переменная <%1> ранее не была сохранена	Променлива <%1> по-рано не е запазена
Пересоздан %1	Пересоздан %1
Пересоздаю %1	Пересоздаю %1
ПланВидовРасчета.%1 не удалось найти предопределенный элемент/группу [%2].%3	ПланВидовРасчета.%1 не може да се намери предварително определен елемент/група [%2].%3
ПланВидовРасчета.%1 не удалось создать новую группу.%2	ПланВидовРасчета.%1 неуспешно създаване на нова група.%2
ПланВидовРасчета.%1 не удалось создать новый элемент.%2	ПланВидовРасчета.%1 неуспех при създаване на нов елемент.%2
ПланВидовХарактеристик.%1 не удалось найти предопределенный элемент/группу [%2].%3	ПланВидовХарактеристик.%1 не може да се намери предварително определен елемент/група [%2].%3
ПланВидовХарактеристик.%1 не удалось создать новую группу.%2	ПланВидовХарактеристик.%1 неуспешно създаване на нова група.%2
ПланВидовХарактеристик.%1 не удалось создать новый элемент.%2	ПланВидовХарактеристик.%1 неуспех при създаване на нов елемент.%2
ПланОбмена.%1 не удалось получить узел этой ИБ.%2	ПланОбмена.%1 не успя да получи възел тази IB.%2
ПланОбмена.%1 не удалось создать новый узел.%2	ПланОбмена.%1 неуспех при създаване на нов възел.%2
ПланСчетов.%1 не удалось найти предопределенный элемент/группу [%2].%3	ПланСчетов.%1 не може да се намери предварително определен елемент/група [%2].%3
ПланСчетов.%1 не удалось создать новую группу.%2	ПланСчетов.%1 неуспешно създаване на нова група.%2
ПланСчетов.%1 не удалось создать новый элемент.%2	ПланСчетов.%1 неуспех при създаване на нов елемент.%2
Подключение с именем <%1> перезаполнено в таблице подключений	Връзка с името на <%1> перезаполнено в таблицата връзки
Подключили для отладки форма %1	Закачен за отстраняване на грешки на форма %1
Подключились к сеансу TESTCLIENT.	Абонирате за влизане TESTCLIENT.
Подсвет рамки - OK	Подсвет рамка - OK
Поле <%1> в данный момент невидимо пользователю.	Полето <%1> в този момент невидимо за потребителя.
Поле <%1> существует, а ожидали, что его нет.	Полето <%1> има, както сте очаквали, че го няма.
Поле с заголовком <%1> не найдено.	Поле от заглавието <%1> не е намерен.
Поле с именем <%1> не найдено.	Полето с име <%1> не е намерен.
Получить изменения формы	Да промени формата
Получить состояние всей формы	Получаване на състоянието на цялата форма
ПолучитьИдентификаторПредставленияПоСсылке() : Неизвестный КорневойТипКонфигурации <%1>	ПолучитьИдентификаторПредставленияпоссылке() : Неизвестен КорневойТипКонфигурации <%1>
ПолучитьСостояниеФормыTestClient:%1	ПолучитьСостояниеФормыTestClient:%1
ПолучитьТаблицуЗначенийИзТабличногоДокумента: Требуется тип ТабличныйДокумент или ПолеТабличногоДокумента	ПолучитьТаблицуЗначенийИзТабличногодокумента: Изисква тип ТабличныйДокумент или ПолеТабличногоДокумента
ПолучитьУжеСуществующиеСнипетыИзОбработок:%1	ПолучитьУжеСуществующиеСнипетыИзобработок:%1
Пометка для шаг установлена.	Маркиране за стъпка е инсталирана.
Пометка снята.	Маркиране на изискана.
порт <%1>	порт <%1>
Порт %1 занят или находится вне указанного диапазона, порт подключения изменен на %2	Пристанище %1 зает или е извън посочения диапазон, порт за свързване променена на %2
Построение дерева.	Изграждане на дървото.
Превышение таймаутуа ожидания завершения фонового задания.	Превишена таймаутуа очакванията приключване на фона на работа.
Предупреждение с текстом %1 не найдено.	Предупреждение с текст %1 не е намерена.
Предыдущая ошибка: %1. ТаймаутОжидания=%2	Предишната грешка: %1. ТаймаутОжидания=%2
При подключении TestClient возникло сообщение:	При свързване на TestClient се е появил съобщение:
ПроверитьРавенствоТаблиц: Второй параметр-таблица таблицей не является	ПроверитьРавенствоТаблиц: Вторият параметър-таблица таблицата не е
ПроверитьРавенствоТаблиц: Первый параметр-таблица таблицей не является	ПроверитьРавенствоТаблиц: Първият параметър на-таблица таблицата не е
ПроверитьРавенствоТабличныхДокументовТолькоПоЗначениям: Второй параметр-таблица не является табличным документом	ПроверитьРавенствоТабличныхДокументовтолькопозначениям: Вторият параметър-таблицата не е табличным документ
ПроверитьРавенствоТабличныхДокументовТолькоПоЗначениям: Первый параметр-таблица не является табличным документом	ПроверитьРавенствоТабличныхДокументовтолькопозначениям: Първият параметър на-таблица не е табличным документ
ПроверитьТип: Тип значения параметра ТипИлиИмяТипа должен быть <Тип> или <Строка>, а получили <%1>%2	ПроверитьТип: Тип на стойността на параметъра ТипИлиИмяТипа трябва да бъде <Тип> или <Низ>, а имам <%1>%2
Проверка загрузки объектов в ИБ из макета данных выполнена успешно.	Проверка за зареждане на обекти в IB от оформлението на данни е изпълнена успешно.
Проверьте работу команды <%1>	Проверете работата на екипа <%1>
Профиль с именем <%1> не найден.	Профил с име <%1> не е намерен.
ПрочитатьПеременныеСреды:%1	ПрочитатьПеременныеСреды:%1
Пустой адрес снипета у шага: %1	Празен адрес снипета от стъпки: %1
ПутьКФиче=Неопределено	ПутьКФиче=Е Определен
Работа с ключами для %1 пока не поддерживается	Работа с ключове за %1 все още не се поддържа
Работаю по сценарию	Работя по сценарий
Работаю по фиче: %1	Работя по фиче: %1
равно	още
РазличаютсяКолонки	РазличаютсяКолонки
Различия в таблицах:	Различия в таблиците:
РазноеКоличествоСтрок	РазноеКоличествоСтрок
Раннер <%1> не подключен.	Рънър <%1> не е свързан.
РежимСовместимостиTestManager	РежимСовместимостиTestManager
Реквизит <%1> не найден.	Подпори <%1> не е намерен.
с длиной	с дължина
Сеанс должен быть запущен с ключом TESTMANAGER.	Сесията трябва да бъде стартиран с ключ TESTMANAGER.
Снипет <%1> встречается %2 раз.	Снипет <%1> среща %2 пъти.
содержащее текст <%1>, а был текст <%2>	съдържащи текст <%1>, а е текст <%2>
содержит	съдържа
Создан %1	Създаден %1
Создан файл: %1	Създаден на файл: %1
Создание epf по фичам закончено.	Създаване на epf за фичам завършен.
Создать тестовый mp3 - OK	Създаване на тест mp3 - OK
Создаю %1	Създавам %1
Справочник.%1 не удалось найти предопределенный элемент/группу [%2].%3	Справочник.%1 не може да се намери предварително определен елемент/група [%2].%3
Справочник.%1 не удалось создать новую группу.%2	Справочник.%1 неуспешно създаване на нова група.%2
Справочник.%1 не удалось создать новый элемент.%2	Справочник.%1 неуспех при създаване на нов елемент.%2
Справочник.%1.%2 - получен пустой элемент.	Справочник.%1.%2 - получен е празен елемент.
Сравниваемые значения (%1; %2) не равны, а хотели, чтобы были равны.%3	Сравниваемые стойности (%1
Сравниваемые значения (%1; %2) равны, а хотели, чтобы были не равны.%3	Сравниваемые стойности (%1
Странный параметр в логе инструкции HTML: %1	Странен параметър в дневника за инструкции HTML: %1
Странный параметр в логе инструкции Markdown: %1	Странен параметър в дневника за инструкции Markdown: %1
Строка <%1> из файла <%2> не найдена в файле <%3>	Ред <%1> файл <%2> не е намерен във файла <%3>
Строка <%1> найдена в окне сообщений пользователю.	Ред <%1>, намерена в полето за съобщения на потребителя.
Строка <%1> найдена в последнем сообщении пользователю. Найдено: %2	Ред <%1>, намерена в последното съобщение на потребителя. Намерени: %2
Строка <%1> не найдена в окне сообщений пользователю.	Ред <%1> не е намерена в прозореца за съобщения на потребителя.
Строка <%1> не найдена в последнем сообщении пользователю. Найдено: %2	Ред <%1> не е намерена в последното съобщение на потребителя. Намерени: %2
Строка %1 не найдена в реквизите %2	Ред %1 не е намерена в филмов %2
Строка №%1 не найдена в табличном документе на форме	Ред №на %1 не е намерена в таблицата от формата на документа
Строка №%1, обнаружен символ <|>, хотя не было ключевого слова <Примеры>.	Ред №%1, открит символ на <|>, въпреки, че не е имало ключова дума <Примери>.
Строка №%1, ожидалось (%2), а найдено (%3) ПредыдущееКлючевоеСлово=%4	Ред №%1, очакваната (%2) и открити (%3) ПредыдущееКлючевоеСлово=%4
Строка должна быть описана таблицей с двумя строками.	Ред трябва да бъде описан таблица с два реда.
Строка с фича-файлом не найдена.	Низ с функция-файл не е намерен.
СтрокаЗапуска=%1	СтрокаЗапуска=%1
существует	има
Сценарий <%1> не загружен.	Сценарий <%1> не се зареждат.
Сценарий: %1	Сценарий: %1
Таблица <%1> не соответствует эталону. Ожидали <%2> строк, а в ней <%3> строк.	Таблица <%1> не отговаря на стандарта. Очаква <%2> редовете, а в нея <%3> редовете.
Таблица <%1> не стала равной за <%2> секунд. %3	Таблица <%1> не стана равен на <%2> секунди. %3
Таблица <%1>. Строка №<%2>. Колонка <%3>. Ожидали <%4>, а получили <%5>	Таблица <%1>. Ред №<%2>. Колона <%3>. Очаква <%4>, а имам <%5>
Таблица формы с именем <%1> не найдена.	Таблица форма с име <%1> не е намерен.
ТаблицаОжиданий.КоличествоСтрок()=%1, ТаблицаРезультатов.Количество()=%2	ТаблицаОжиданий.КоличествоСтрок()=%1, ТаблицаРезультатов.Количество()=%2
Таблицы должны совпадать, а они различны.%1	Таблицата трябва да съвпадат, а те са различни%1
ТаблицыСовпадают	ТаблицыСовпадают
Табличный документ <%1> оказался неравен <%2>.%3	Таблични документ <%1> оказа се, неравен <%2>.%3
Табличный документ не содержит нужные строки <%1>	Таблични документ не съдържа нужните на низа <%1>
Табличный документ содержит ненужные строки <%1>	Таблични документ съдържа ненужни редове <%1>
ТестируемаяФорма <%1> не открылась, а должна была открыться	ТестируемаяФорма <%1> не е открита, а е трябвало да се отвори
ТестПропущен	ТестПропущен
Технические данные	Технически данни
тип	тип
Типом значения <%1> является <%2>, а ожидался тип <%3>.%4	Тип на стойността <%1> е <%2>, а се очаква вид <%3>.%4
Требуется документ, бизнес-процесс или задача. Неизвестный менеджер %1.%2 . Переменная %3	Изисква се документ, бизнес-процес или задача. Неизвестен мениджър %1.%2 . Променливата %3
ТЧ %1 не соответствует эталону. Ожидали %2 строк, а в ней %3 строк.	ФПЧ %1 не съответства на стандарта. Очаква %2 реда, а в нея %3 реда.
ТЧ с именем <%1> не найдена.	ФПЧ с име <%1> не е намерен.
У окна <%1> не найдено ни одного элемента с типом <ТестируемоеПолеФормы>.	От прозореца на <%1> не е намерен нито един елемент от тип <ТестируемоеПолеФормы>.
У поля <%1> ожидали заголовок <%2>, а получили <%3>	При полета за <%1> очаквали заглавие <%2>, а имам <%3>
У поля <%1> ожидали отображаемый текст <%2>, а получили <%3>	При полета за <%1> очаквали показани текст <%2>, а имам <%3>
У поля <%1> ожидали текст подсказки <%2>, а получили <%3>	При полета за <%1> очаквали текст подсказва <%2>, а имам <%3>
У текущего окна найдено %1 форм.	При текущия прозорец открит е %1 форми.
У элемента формы <%1> текущий текст редактирования <%2>, а ожидали <%3>	Елементът форми на <%1> настоящия текст редактиране на <%2>, както очакваха <%3>
Удаляю элемент %1	Отстранете елемент %1
Удаляю элемент справочника <%1> : <%2>	Отстранете елемент от директорията <%1> : <%2>
Уже открытый TestClient подключен на %1 порту.	Вече е открит TestClient е свързан към %1 в порто.
Указан неверный диапазон портов: <%1>	Въведен е грешен диапазон от портове: <%1>
Указанное Имя колонки замещения [%1] не существует в макете.	Посоченото Име на колона замяна [%1] не съществува в оформлението.
Установлен флаг "Остановка при возникновении ошибки". Выполнение следующих сценариев отменено.	Има флаг "Спиране при възникване на грешка". Изпълнение на следните сценарии отменено.
Установлен флаг <Остановка при возникновении ошибки>. Выполнение следующих сценариев отменено.	Има флаг <Спирка при възникване на грешка>. Изпълнение на следните сценарии отменено.
Утверждение "ИмеетДлину" не умеет работать с типом <%1>.%2	Твърдението "ИмеетДлину" не знае как да работи с типа на <%1>.%2
Утверждение "ПроверитьВхождениеВКоллекцию" не умеет работать с типом коллекции <%1>.%2	Твърдението "ПроверитьВхождениеВКоллекцию" не знае как да работи с вида колекция <%1>.%2
Утверждение "Содержит" не умеет работать с типом <%1>.%2	Твърдението "Съдържа" не знае как да работи с типа на <%1>.%2
