Шаг оригинал	Описание	Перевод шага	Перевод описания	
И в поле с именем "%1 ИмяПоля" я ввожу текущую дату и текущее время	Вводит текстовое представление значения текущей даты и времени в поле. Например "01.01.2018 12:00:00".	Si câmpul numit "%1 NumeCâmp", introduceți data curentă și ora curentă	Introduce o reprezentare textuală a valorii curente de dată și oră într-un câmp. De exemplu, "01/01/2018 12:00:00".	
И в поле с именем "%1 ИмяПоля" я увеличиваю значение	Увеличивает значение поля в помощью специальной кнопки	Și în câmpul numit "%1 NumeCâmp" măresc valoarea	Mărește valoarea câmpului utilizând butonul special.	
И в поле с именем "%1 ИмяПоля" я уменьшаю значение	Уменьшает значение поля в помощью специальной кнопки	Și în câmpul numit "%1 NumeCâmp" am scăzut valoarea	Reduce valoarea cîmpului utilizвnd butonul special.	
И В последнем сообщении TestClient нет строки "%1 Нет"	Шаг позволяет проверить, что в самом новом сообщении пользователю нет указанной строки.	Și în ultimul mesaj TestClient nu există nici o linie "%1 Nu"	Pasul vă permite să verificați dacă utilizatorul nu are șirul specificat în cel mai nou mesaj.	
И в сообщениях пользователю нет одинаковых сообщений	Проверяет, что каждое сообщение пользователю встречается только один раз	Și în mesajele către utilizator nu există mesaje identice.	Verifică că fiecare mesaj către utilizator este găsit o singură dată.	
И в таблице "%1 ИмяТаблицы" "%2 10" строк, у которых колонка "%3 ИмяКолонки" "%4 ВидСравнения" "%5 ЗначениеКолонки"	Проверяет, что у таблицы TestClient есть указанное число строк, у которых значение в нужной колоноке сответствует заданному	În tabelul "%1 NumeTabel" "%2 10" rînduri, la care coloana "%3 NumeColoană" "%4 TipComparație" "%5 ValoareaColoanei"	Verifică faptul că tabelul TestClient are numărul de rânduri specificat care are valoarea din coloana corespunzătoare corespunzătoare celei specificate	
И в таблице "%1 ИмяТаблицы" в поле '%2 Заголовок поля' я ввожу значение выражения "%3 Выражение"	Вычисляет выражение и вводит результат в поле таблицы	Și tabelul "%1 NumeTabel" în cîmpul '%2  Titlul câmpului' eu introduc valoarea expresiei "%3 Expresie"	Calculează o expresie și introduce rezultatul într-un câmp de tabel.	
И в таблице "%1 ИмяТаблицы" в поле "%2 Заголовок поля" я ввожу текущую дату	Ввод текущей даты в поле таблицы	Și în tabelul "%1 NumeTabel" în câmpul "%2 Titlulul câmpului" intru în data curentă	Introduceți data curentă în câmpul tabelului	
И в таблице "%1 ИмяТаблицы" в поле "%2 Заголовок поля" я увеличиваю значение	Увеличивает значение поля в помощью специальной кнопки	Și în tabelul "%1 NumeTabel" în câmpul "%2 Titlulul câmpului" măresc valoarea	Mărește valoarea câmpului utilizând butonul special.	
И в таблице "%1 ИмяТаблицы" в поле "%2 Заголовок поля" я уменьшаю значение	Уменьшает значение поля в помощью специальной кнопки	Și în tabelul "%1 NumeTabel" din câmpul "%2 Titlulul câmpului", scade valoarea	Reduce valoarea cîmpului utilizвnd butonul special.	
И в таблице "%1 ИмяТаблицы" в поле с именем '%2 ИмяПоля' я ввожу значение выражения "%3 Выражение"	Вычисляет выражение и вводит результат в поле таблицы	Și în tabelul "%1 NumeTabel" în câmpul numit '%2 NumeCâmp', introduceți valoarea expresiei "%3 expression"	Calculează o expresie și introduce rezultatul într-un câmp de tabel.	
И в таблице "%1 ИмяТаблицы" в поле с именем "%2 ИмяПоля" я ввожу конец следующего месяца	Вводит в поле таблицы текстовое представление значения даты равной концу следующего месяца. Например "31.01.2018".	Și în tabelul "%1 NumeTabel" în câmpul numit "%2 NumeCâmp", intră la sfârșitul lunii următoare	Introduceți o reprezentare textuală a valorii datei egale cu sfârșitul lunii următoare în câmpul din tabel. De exemplu, "01/31/2018".	
И в таблице "%1 ИмяТаблицы" в поле с именем "%2 ИмяПоля" я ввожу конец текущего месяца	Вводит в поле таблицы текстовое представление значения даты равной концу текущего месяца. Например "31.01.2018".	Și în tabelul "%1 NumeTabel" în câmpul numit "%2 Nume câmp" intră la sfârșitul lunii curente	Introduceți o reprezentare textuală a valorii de dată egală cu sfârșitul lunii curente în câmpul din tabel. De exemplu, "01/31/2018".	
И в таблице "%1 ИмяТаблицы" в поле с именем "%2 ИмяПоля" я ввожу начало следующего месяца	Вводит в поле таблицы текстовое представление значения даты равной началу следующего месяца. Например "01.01.2018".	Și în tabelul "%1 NumeTabel" în câmpul numit "%2 Nume câmp" intrăm la începutul lunii următoare	Introduceți o reprezentare textuală a valorii datei egale cu începutul lunii următoare în câmpul din tabel. De exemplu "01/01/2018".	
И в таблице "%1 ИмяТаблицы" в поле с именем "%2 ИмяПоля" я ввожу начало текущего месяца	Вводит в поле таблицы текстовое представление значения даты равной началу текущего месяца. Например "01.01.2018".	Și în tabelul "%1 NumeTabel" în câmpul numit "%2 Nume câmp" intrăm la începutul lunii curente	Introduceți o reprezentare textuală a valorii datei egale cu începutul lunii curente în câmpul tabelului. De exemplu "01/01/2018".	
И в таблице "%1 ИмяТаблицы" в поле с именем "%2 ИмяПоля" я увеличиваю значение	Увеличивает значение поля в помощью специальной кнопки	Și în tabelul "%1 NumeTabel" în câmpul numit "%2 NumeCâmp" măresc valoarea	Mărește valoarea câmpului utilizând butonul special.	
И в таблице "%1 ИмяТаблицы" в поле с именем "%2 ИмяПоля" я уменьшаю значение	Уменьшает значение поля в помощью специальной кнопки	Și în tabelul "%1 NumeTabel" în câmpul numit "%2 NumeCâmp" am scăzut valoarea	Reduce valoarea cîmpului utilizвnd butonul special.	
И в таблице "%1 ИмяТаблицы" в текущее поле я ввожу текст "%2 НужныйМнеТекст"	Ввод текста в текущее поле таблицы.	Și în tabelul "%1 NumeTabel" din câmpul curent introduc textul "%2 RequiredMeText"	Introduceți text în câmpul curent al tabelului.	
И в таблице "%1 ИмяТаблицы" заголовок активной колонки "%2 Текст"	Проверяет, что у активная колока таблицы имеет нужный заголовок	Și tabelul "%1 NumeTabel", titlul coloanei active este "%2 Text"	Verifică dacă coloana tabelă activă are titlul corect.	
И в таблице "%1 ИмяТаблицы" из выпадающего списка "%2 Заголовок поля" я выбираю по строке "%3 ЗначениеПоля"	Выбор значения из выпадающего списка. Сначала будет ввод по строке указанного значения, затем будет выбрано первое значение из списка.	Și în tabelul "%1 NameTable" din lista drop-down "%2 Titlul câmpului" Selectez din linia "%3 ValoareCâmp"	Selectați o valoare din lista derulantă. Mai întâi va exista o intrare pe linia valorii specificate, apoi va fi selectată prima valoare din listă.	
И в таблице "%1 ИмяТаблицы" из выпадающего списка "%2 Заголовок поля" я выбираю точное значение "%3 ЗначениеПоля"	Выбор значения из выпадающего списка. Должно быть указано точное значение	Și în tabelul "%1 NumeTabel" din lista derulantă "%2 TitlulCâmpului" Am selectat valoarea exactă "%3 ValoareCâmp"	Selectați o valoare din lista derulantă. Trebuie specificată valoarea exactă.	
И в таблице "%1 ИмяТаблицы" из выпадающего списка с именем "%2 ИмяПоля" я выбираю по строке "%3 ЗначениеПоля"	Выбор значения из выпадающего списка. Сначала будет ввод по строке указанного значения, затем будет выбрано первое значение из списка.	Și tabelul "%1 NumeTabel" din lista drop-down cu numele "%2 NumeCâmp" eu aleg dupa rînd "%3 ValoareCâmp"	Selectați o valoare din lista derulantă. Mai întâi va exista o intrare pe linia valorii specificate, apoi va fi selectată prima valoare din listă.	
И в таблице "%1 ИмяТаблицы" из выпадающего списка с именем "%2 ИмяПоля" я выбираю точное значение "%3 ЗначениеПоля"	Выбор значения из выпадающего списка	Și tabelul "%1 NumeTabel" din lista drop-down cu numele "%2 NumeCâmp" eu aleg valoarea exactă "%3 ValoareCâmp"	Selectarea unei valori din lista derulantă	
И в таблице "%1 ИмяТаблицы" имя активной колонки "%2 Текст"	Проверяет, что у активная колока таблицы имеет нужное имя	Și tabelul "%1 NumeTabel" numele coloanei active "%2 Text"	Verifică că coloana tabelă activă are numele corect.	
И В таблице "%1 ИмяТаблицы" поле "%2 Заголовок реквизита" доступно не только для просмотра	Проверка установленного флага "Только просмотр" для реквизита в таблице	Și în tabelul "%1 NumeTabel" câmpul "%2 TitluriAtribut" disponibil nu numai pentru vizualizare	Verificați setul "Vezi numai" pentru atributul din tabel	
И в таблице "%1 ИмяТаблицы" поле с именем "%2 ИмяПоля" имеет значение "%3 ЗначениеПоля"	Проверка значения поля (ячейки) текущей строки таблицы	Și tabelul "%1 NumeTabel" cîmpu cu numele "%2 NumeCâmp" are valoare pentru "%3 ValoareCâmp"	Verificați valoarea câmpului (celulă) al rândului curent din tabel	
"И в таблице ""%1 ИмяТаблицы"" текущая строка равна:
 | ИмяКолонки1 | ИмяКолонки2 |
 | Значение1 | Значение2 |"	Проверяет, что таблица TestClient стала равна таблице Gherkin	"Și tabelul ""%1 NumeTabel"" rîndul curent este egal cu:
 | NumeColoana1 | NumeColoana2 |
 | Valoare1 | Valoare2 |"	Verifică faptul că tabelul TestClient devine egal cu tabelul Gherkin.	
И в таблице "%1 ИмяТаблицы" у поля "%2 Заголовок элемента" я жду значения "%3 Значение" в течение "%4 20" секунд	Ожидает значения в ячейке таблицы в текущей строке в течение указанного числа секунд. Ячейка указывается по её заголовку.	Și tabelul "%1 NumeTabel" la cîmpul "%2 TitlulElement " aștept valoarea "%3 Valoare" în timp de "%4 20" secunde	Se așteaptă valori în celula tabelă din rândul curent pentru numărul specificat de secunde. Celula este indicată prin titlu.	
И в таблице "%1 ИмяТаблицы" у поля "%2 Заголовок элемента" я жду значения отличного от "%3 Значение" в течение "%4 20" секунд	Ожидает значения отличного от указанного в ячейке таблицы в текущей строке в течение указанного числа секунд. Ячейка указывается по её заголовку.	Și tabelul "%1 NumeTabel" în cîmpul "%2 TitlulElement" eu aștept valoarea ce difera de "%3 Valoare" în timp de "%4 20" secunde	Se așteaptă valori diferite de cele specificate în celula de tabelă din rândul curent pentru numărul specificat de secunde. Celula este indicată prin titlu.	
И в таблице "%1 ИмяТаблицы" у поля с именем "%2 ИмяЭлемента" я жду значения "%3 Значение" в течение "%4 20" секунд	Ожидает значения в ячейке таблицы в текущей строке в течение указанного числа секунд. Ячейка указывается по её имени.	Și tabelul "%1 NumeTabel" în cîmpul cu numele "%2 NumeElement" eu aștept valoarea "%3 Valoare" în timp de "%4 20" secunde	Se așteaptă valori în celula tabelă din rândul curent pentru numărul specificat de secunde. Celula este indicată de numele său.	
И в таблице "%1 ИмяТаблицы" у поля с именем "%2 ИмяЭлемента" я жду значения отличного от "%3 Значение" в течение "%4 20" секунд	Ожидает значения отличного от указанного в ячейке таблицы в текущей строке в течение указанного числа секунд. Ячейка указывается по её имени.	Și tabelul "%1 NumeTabel" în cîmpul cu numele "%2 NumeElement" eu aștept valoarea ce difera de "%3 Valoare" în timp de "%4 20" secunde	Se așteaptă valori diferite de cele specificate în celula de tabelă din rândul curent pentru numărul specificat de secunde. Celula este indicată de numele său.	
И в таблице "%1 ИмяТаблицы" я активизирую колонку "%2 Заголовок колонки" в группе "%3 ИмяГруппыКолонок"	Активизирует поле таблицы в указанной группе колонок.	Și tabelul "%1 NumeTabel" eu activez butonul "%2 TitlulColoană" în grupa "%3 NumeGrupColoane"	Activează un câmp de tabelă în grupul de coloane specificat.	
И в таблице "%1 ИмяТаблицы" я активизирую колонку с именем "%2 ИмяКолонки" в группе "%3 ИмяГруппыКолонок"	Активизирует поле таблицы в указанной группе колонок.	Și tabelul "%1 NumeTabel" eu activez butonul cu numele "%2 NumeColoană" în grupa "%3 NumeGrupColoane"	Activează un câmp de tabelă în grupul de coloane specificat.	
И в таблице "%1 ИмяТаблицы" я выделяю все строки выше текущей	Выделяет в таблице все строки выше данной	Și în tabelul "%1 NumeTabel" selectăm toate rândurile deasupra actualului	Selectează toate rândurile deasupra acestui tabel.	
И в таблице "%1 ИмяТаблицы" я выделяю все строки ниже текущей	Выделяет в таблице все строки ниже данной	Și în tabelul "%1 NumeTabel" am selectat toate liniile de sub curent	Selectează toate rândurile din tabelul de mai jos.	
И в таблице "%1 ИмяТаблицы" я перехожу к предыдущей ячейке	Переходит к предыдущей ячейки таблицы	Și în tabelul "%1 NumeTabel" mă mut la celula anterioară	Treceți la celula de tabelă anterioară.	
И в таблице "%1 ИмяТаблицы" я перехожу к следующей ячейке	Переходит к следующей ячейки таблицы	Și în tabelul "%1 NumeTabel" mă mut la următoarea celulă	Treceți la celula următoare din tabel.	
"И в таблице ""%1 ИмяТаблицы"" я перехожу к строке по шаблону
 |'ИмяКолонки'|
 |'*ЧастьСтроки*'|"	Переход к строке таблицы, когда в значении колонок встречаются символы *	"Și tabelul ""%1 NumeTabel"" eu trec la rindul după șablonul
 |'NumeColoană'|
 |'*ParteColoană*'|"	Salt la un rînd dintr-un tabel atunci Când caracterele din valoarea coloanei sunt *	
"И в таблице ""%1 ИмяТаблицы"" я перехожу к строке с переключением выделения:
 | 'ИмяКолонки' |
 | 'ЗначениеКолонки' |"	Переход к нужной строке данной таблицы со сменой выделения строки (клавиша Ctrl). Если обернуть значение с помощью символа $, тогда значение будет взято из переменной Контекст. Если $$, тогда из КонтекстСохраняемый.	"Și tabelul ""%1 NumeTabel"" trec spre rînd prin schimbarea înserării:
 | 'NumeColoană' |
 | 'ValoareColoană' |"	Navigați la rândul dorit din acest tabel schimbând selecția rândului (tasta Ctrl). Dacă înfășurați valoarea cu simbolul $, atunci valoarea va fi luată din variabila Context. Dacă $ $$, apoi din Context Conserved.	
"И в таблице ""%1 ИмяТаблицы"" я разворачиваю строку с подчиненными:
 | 'ИмяКолонки' |
 | 'ЗначениеКолонки' |"	Развернуть группу строк со всеми подчиненными строками. Нужен режим совместимости 8.3.13 или выше.	"Și tabelul ""%1 NumeTabel"" deschid randul cu siruri subordonate :
 | 'NumeColoană' |
 | 'ValoareColoană' |"	Extindeți un grup de linii cu toate liniile subordonate. Modul de compatibilitate 8.3.13 sau mai mare este necesar.	
И в таблице "%1 ИмяТаблицы" я разворачиваю текущую строку с подчиненными	Развернуть текущую строку таблицы/дерева со всеми подчиненными строками. Нужен режим совместимости 8.3.13 или выше.	Și tabel "%1 NumeTabel" deschid randul curent cu subordonate	Extindeți rândul curent de tabel / arbore cu toate rândurile subordonate. Modul de compatibilitate 8.3.13 sau de mai sus.	
И в таблице "%1 ИмяТаблицы" я снимаю флаг с именем "%2 ИмяФлага"	Устанавливает флаг в Ложь	Și tabel "%1 NumeTabel" scot bifa de pe numele "%2 NumeBifă"	Setează steagul la Fals	
И в таблице "%1 ИмяТаблицы" я устанавливаю флаг с именем "%2 ИмяФлага"	Устанавливает флаг в Истина	Și tabel "%1 NumeTabel" bifez pe numele "%2 NumeBifă"	Setează drapelul la adevărat	
И в таблице клиентов тестирования я активизирую строку '%1 ИмяКлиентаТестирования'	Актвизирует строку с нужным клиентом тестирования. Поиск строки просходит с начала по имени, затем по синониму.	Și în tabela de testare a clienților activez șirul "%1 NumeClientTestare"	Acționează șirul cu clientul de testare dorit. Căutarea pentru șir începe de la început cu numele, apoi cu sinonimul.	
И в таблице текущее поле заполнено	Проверяет, что текущая ячейка текущей таблицы заполнена.	Și tabel este completat câmpul curent	Verifică dacă celula curentă din tabelul curent este plină.	
И в таблице текущее поле не заполнено	Проверяет, что текущая ячейка текущей таблицы не заполнена.	Și în tabel câmpul curent nu este ocupat	Verifică dacă celula curentă din tabelul curent este goală.	
И в Таблицу "%1 ИмяТаблицы" в поле "%2 Заголовок поля" я ввожу значение переменной "%3 ИмяПеременной"	Вставка значения ранее сохраненной переменной в реквизит	Și tabelul "%1 NumeTabel" în cîmpul "%2 Titlul Câmp" introduc valoarea variabilei "%3 NumeVariabila"	Introducerea valorii unei variabile salvate anterior în documentul dorit	
И в табличном документе "%1 РеквизитТабличныйДокумент" я делаю двойной клик на текущей ячейке	Делает двойной клик на текущей ячейке табличного документа	Și documentul tabelar "%1 AtributDocumentTabelar" fac dublu clic pe celula curenta	Faceți dublu clic pe celula curentă a documentului foaie de calcul.	
И в табличном документе "%1 РеквизитТабличныйДокумент" я перехожу к ячейке "%2 R4C2"	Делает нужную ячейку табличного документа активной	Și documentul tabelar "%1 AtributDocumentTabelar" trec la celula "%2 R4C2"	Face ca celula dorită a documentului tabelă să fie activă.	
И в табличном документе "%1 РеквизитТабличныйДокумент" ячейка с адресом "%2 АдресЯчейки" равна "%3 ЗначениеЯчейки"	Проверяет значение ячейки с указанным адресом.	Și documentul tabelar "%1 AtributDocumentTabelar" celula cu adresa "%2 AdresaCelulei" este egală "%3 ValoareaCelulei"	Verifică valoarea celulei cu adresa specificată.	
И в табличный документ "%1 РеквизитТабличныйДокумент" я ввожу текст "%2 МойТекст"	Вводит текст в текщую ячейку табличного документа	Și documentul tabelar "%1 AtributDocumentTabelar" introduc textul "%2 TextulMeu"	Introduce textul în celula curentă a unui document tabelar.	
И в текущее поле я ввожу текст "%1 ЗначениеПоля"	Вводит в активное поле формы (не таблицы) переданное значение	Și în câmpul curent introduc textul "%1 ValoareCâmp"	Intră în câmpul activ al unui formular (nu tabel) valoarea transmisă	
И в течение "%1 100" секунд я выполняю	Цикл. Выполняет действия в цикле в течение заданного числа секунд. По истечении времени вызывает исключение, если не был вызван шаг <Тогда я прерываю цикл>	Și timp de "%1 100" secunde eu efectuez	Ciclul. Efectuează acțiuni într-o buclă pentru un anumit număr de secunde. Când timpul expiră, aruncă o excepție dacă un pas nu a fost numit <Atunci am întrerupt ciclul>	
"И выпадающий список ""%1 Заголовок элемента"" не содержит значения
 | 'Значение1' |
 | 'Значение2' |"	Проверяет, что открытый выпадающий список не содержит ни одного значения из переданного набора значений. Поиск элемента формы выполняется по заголовку.	"Și lista deschisă ""%1 TitlulElement"" nu contine valorile
 | 'Valoare1' |
 | 'Valoare2' |"	Verifică dacă lista derulantă deschisă nu conține valori din setul de valori transferat. Căutarea unui element de formă se realizează după titlu.	
"И выпадающий список ""%1 Заголовок элемента"" содержит значения
 | 'Значение1' |
 | 'Значение2' |"	Проверяет, что открытый выпадающий список в содержит каждое значение из переданного набора значений. Поиск элемента формы выполняется по заголовку.	"Și lista deschisa ""%1 TitlulElement"" conține valorile
  | 'Valoare1' |
  | 'Valoare2' |"	Verifică că lista verticală deschisă conține fiecare valoare din valoarea setată. Căutarea unui element de formă se realizează după titlu.	
"И выпадающий список ""%1 Заголовок элемента"" стал равен:
 | 'Значение1' |
 | 'Значение2' |"	Проверяет, что открытый выпадающий список в точности равен переданному набору значений. Поиск элемента формы выполняется по заголовку.	"Și lista deschisa ""%1 TitlulElement"" devine egal:
 | 'Valoare1' |
 | 'Valoare2' |"	Verifică că lista verticală deschisă este exact egală cu valoarea setată. Căutarea unui element de formă se realizează după titlu.	
"И выпадающий список с именем ""%1 ИмяЭлемента"" не содержит значения
 | 'Значение1' |
 | 'Значение2' |"	Проверяет, что открытый выпадающий список не содержит ни одного значения из переданного набора значений. Поиск элемента формы выполняется по имени.	"Și lista deschisa cu numele ""%1 NumeElement"" nu conține valorile
  | 'Valoare1' |
  | 'Valoare2' |"	Verifică dacă lista derulantă deschisă nu conține valori din setul de valori transferat. Căutați un element de formă după nume.	
"И выпадающий список с именем ""%1 ИмяЭлемента"" содержит значения
 | 'Значение1' |
 | 'Значение2' |"	Проверяет, что открытый выпадающий список в содержит каждое значение из переданного набора значений. Поиск элемента формы выполняется по имени.	"Și lista deschisa cu numele ""%1 NumeElement"" contine valorile
  | 'Valoare1' |
  | 'Valoare2' |"	Verifică că lista verticală deschisă conține fiecare valoare din valoarea setată. Căutați un element de formă după nume.	
"И выпадающий список с именем ""%1 ИмяЭлемента"" стал равен:
 | 'Значение1' |
 | 'Значение2' |"	Проверяет, что открытый выпадающий список в точности равен переданному набору значений. Поиск элемента формы выполняется по имени.	"Și lista deschisa cu numele ""%1 NumeElement"" devine egal :
  | 'Valoare1' |
  | 'Valoare2' |"	Verifică că lista verticală deschisă este exact egală cu valoarea setată. Căutați un element de formă după nume.	
И для каждого файла "%1 ТекФайл" из каталога "%2 C:\Temp\Video"	Делает перебор файлов в каталоге, исключая подкаталоги.	Și pentru fiecare fișier "%1 TechFile" din catalog "%2 C: \ Temp \ Video"	Face enumerarea fișierelor din director, cu excepția subdirectoarelor.	
И для каждой строки таблицы отбора я устанавливаю отбор в списке	Шаг выставляет отбор в форме списка, когда уже открыта форма отбора.	Și pentru fiecare rând din tabelul de selecție am setat selecția în listă	Pasul stabilește selecția sub forma unei liste atunci când formularul de selecție este deja deschis.	
И для каждой строки таблицы отбора я устанавливаю отбор в списке если это возможно	Шаг выставляет отбор в форме списка, когда уже открыта форма отбора. Не вызывает исключение, если нет такого фильтра в списке.	Și pentru fiecare rând din tabelul de selecție am setat selecția în listă, dacă este posibil	Pasul stabilește selecția sub forma unei liste atunci când formularul de selecție este deja deschis. Nu provoacă o excepție dacă nu există un astfel de filtru în listă.	
"И затем я выполняю код встроенного языка
 | 'Сообщить(""Hellow world."")' |"	Позволяет выполнить произвольный код на встроенном языке. Код передаётся через таблицу Gherkin.	"Și apoi execut codul de limbă încorporat
 | 'Mesaj(""Hellow world."")' |"	Vă permite să executați codul arbitrar în limba încorporată. Codul este transmis prin tabelul Gherkin.	
И значения табличных документов равны	Шаг на вход принимает таблицу, к которой указаны имена переменных Контекста ранее полученных макетов.	Și valorile documentelor tabulare sunt egale	Pasul de intrare acceptă un tabel la care sunt indicate numele variabilelor de context ale machetelor obținute anterior.	
И из выпадающего списка "%1 Заголовок поля" я выбираю по строке "%2 ЧастьСтроки"	Выбор из выпадающего списка. Значение будет выбрано через ввод по строке. Допускается вводить строку не целиком.	Și din lista deschisa "%1 TitlulCâmp"aleg după rînd "%2 ParteColoană"	Selectați din lista derulantă. Valoarea va fi selectată prin introducerea pe linie. Este permisă introducerea unui șir în întregime.	
И из выпадающего списка "%1 Заголовок поля" я выбираю точное значение "%2 ЗначениеПоля"	Выбор из выпадающего списка. Переданное значение должно в точности совпадать с тем, что видит пользователь при выборе из списка.	Și din lista deschisa "%1 TitlulCâmp" eu aleg valoarea exactă "%2 ParteColoană"	Selectați din lista derulantă. Valoarea transferată trebuie să se potrivească exact cu ceea ce văd utilizatorul atunci când alegeți din listă.	
И из выпадающего списка с именем "%1 ИмяПоля" я выбираю по строке "%2 ЧастьСтроки"	Выбор из выпадающего списка. Значение будет выбрано через ввод по строке. Допускается вводить строку не целиком.	Și din lista deschisa cu numele "%1 NumeCâmp" aleg după rînd "%2 ParteColoană"	Selectați din lista derulantă. Valoarea va fi selectată prin introducerea pe linie. Este permisă introducerea unui șir în întregime.	
И из выпадающего списка с именем "%1 ИмяПоля" я выбираю точное значение "%2 ЗначениеПоля"	Выбор из выпадающего списка. Переданное значение должно в точности совпадать с тем, что видит пользователь при выборе из списка.	Și din lista deschisa cu numele "%1 NumeCâmp" eu aleg valoarea exactă "%2 ValoareCâmp"	Selectați din lista derulantă. Valoarea transferată trebuie să se potrivească exact cu ceea ce văd utilizatorul atunci când alegeți din listă.	
И количество строк таблицы "%1 ИмяТаблицы" равно переменной "%2 ИмяПеременной"	Сравнение количество строк таблицы с переменной Контекста	Și cantitatea rîndurilor tabelare "%1 NumeTabel" egală cu variabila "%2 NumeVariabila"	Comparând numărul de rânduri dintr-o masă cu o variabilă de context	
И область "%1 R1C1:R10C10" табличного документа "%2 РеквизитТабличныйДокумент" равна макету "%3 ИмяМакета"	Сравнивает значения указанной области макета с эталоном. Макет ищется сначала в обработке фича файла, затем в каталоге проекта.  Чтобы получить mxl файл из TestClient, в тонком клиенте будет сделана попытка сохранить табличный документ в файл. В Web клиенте он всегда будет считываться по ячейкам. Детали в справке, в разделе, посвященному сравнению табличного документа с эталоном.	Și regiunea "%1 R1C1:R10C10" documentului tabelar "%2 AtributDocumentTabelar" egală cu schema "%3 NumeleȘablonului"	Compară valorile zonei specificate a aspectului cu standardul. Aspectul este căutat mai întâi în procesarea caracteristicii fișierului, apoi în directorul proiectului. Pentru a obține fișierul mxl de la TestClient, clientul subțire va încerca să salveze documentul foaie de calcul într-un fișier. În clientul Web, acesta va fi întotdeauna citit de celulă. Detalii în ajutor, în secțiunea dedicată comparării unui document tabular cu standardul.	
И область "%1 R1C1:R10C10" табличного документа "%2 РеквизитТабличныйДокумент" равна макету "%3 ИмяМакета" по шаблону	Сравнивает значения указанной области макета с эталоном. В значениях допусается использовать символы *. Макет ищется сначала в обработке фича файла, затем в каталоге проекта.  Чтобы получить mxl файл из TestClient, в тонком клиенте будет сделана попытка сохранить табличный документ в файл. В Web клиенте он всегда будет считываться по ячейкам. Детали в справке, в разделе, посвященному сравнению табличного документа с эталоном.	Și regiunea "%1 R1C1:R10C10" documentului tabelar "%2 AtributDocumentTabelar" egala cu schema "%3 NumeleȘablonului" după șablon	Compară valorile zonei specificate a aspectului cu standardul. Valorile pot folosi *. Aspectul este căutat mai întâi în procesarea caracteristicii fișierului, apoi în directorul proiectului. Pentru a obține fișierul mxl de la TestClient, clientul subțire va încerca să salveze documentul foaie de calcul într-un fișier. În clientul Web, acesta va fi întotdeauna citit de celulă. Detalii în ajutor, în secțiunea dedicată comparării unui document tabular cu standardul.	
И обратите внимание "%1 Текст обратите внимание"	Выводит в автовидеоинструкцию нужный текст в виде вставки. Белые буквы на черном фоне.	Și atrageți atenția "%1 Notă de text"	Afișează textul necesar sub forma unei inserții în avtovideoinstruktsiyu. Literele albe pe fundal negru.	
"И панель разделов не содержит пункты меню
 | 'ИмяЭлемента1' |
 | 'ИмяЭлемента2' |"	Проверяет, что панель разделов не содержит элементы из переданной таблицы, содержащей пункты панели разделов.	"Și bara secțiunii nu conține elemente de meniu
 | 'NumeElement1' |
 | 'NumeElement2' |"	Verifică faptul că panoul de partiții nu conține elemente din tabelul care a trecut prin conținutul elementelor din panoul de partiții.	
"И панель разделов равна
 | 'ИмяЭлемента1' |
 | 'ИмяЭлемента2' |"	Проверяет равенство панели разделов переданной таблице, содержащей пункты панели разделов.	"Bara secțiunii este egală
 | 'NumeElement1' |
 | 'NumeElement2' |"	Verifică egalitatea panoului de partiții la tabela transferată care conține elementele din panoul de partiții.	
"И панель разделов содержит пункты меню
 | 'ИмяЭлемента1' |
 | 'ИмяЭлемента2' |"	Проверяет, что панель разделов содержит элементы из переданной таблицы, содержащей пункты панели разделов.	"Și panoul secțiunilor conține elemente de meniu                                                                                           | 'NumeElement1' |
 | 'NumeElement2' |"	Verifică dacă bara secțiunii conține elemente din tabelul care a fost transmis, care conține elemente de bara de secțiune.	
"И панель функций не содержит пункты меню
 | 'ИмяЭлемента1' |
 | 'ИмяЭлемента2' |"	Проверяет, что панель функций не содержит элементы из переданной таблицы, содержащей пункты панели функций.	"Și bara funcțiilor nu conține punctele meniuliu
 | 'NumeElement1' |
 | 'NumeElement2' |"	Verifică faptul că panoul de funcții nu conține elemente din tabelul care conține elemente de panou de funcții.	
"И панель функций равна
 | 'ИмяЭлемента1' |
 | 'ИмяЭлемента2' |"	Проверяет равенство панели функция переданной таблице, содержащей пункты панели функий.	"Și bara funcțiilor este egală
 | 'NumeElement1' |
 | 'NumeElement2' |"	Verifică egalitatea funcției tabloului de bord la tabelul transferat care conține elementele funcționale ale tabloului de bord	
"И панель функций содержит пункты меню
 | 'ИмяЭлемента1' |
 | 'ИмяЭлемента2' |"	Проверяет, что панель функций содержит элементы из переданной таблицы, содержащей пункты панели функций.	"Și bara funcțiilor conține punctele meniuliu
 | 'NumeElement1' |
 | 'NumeElement2' |"	Verifică faptul că panoul cu funcții conține elemente din tabelul care a intrat, care conține elementele din panoul funcțional.	
И поле "%1 Заголовок поля" равно переменной "%2 ИмяПеременной"	Сравнение значения поля с переменной Контекста	Și cîmpul "%1 TitlulCâmp" egală variabilei "%2 NumeVariabile"	Compararea valorii cîmpului cu variabila de context	
И поле с именем "%1 ИмяПоля" заполнено	Проверяет заполненность поля формы	Și cîmpul cu numele "%1 NumeCâmp" este indeplinita	Verifică câmpul complet al formularului	
