Шаг оригинал	Описание	Перевод шага	Перевод описания
И в таблице "%1 ИмяТаблицы" я удаляю текущую строку	Удаляет текущую строку таблицы	E nella tabella "%1 NomeTabella" cancello la riga corrente	Elimina la riga corrente della tabella
И в Таблицу "%1 ИмяТаблицы" в поле "%2 ИмяПоля" ввожу значение переменной "%3 ИмяПеременной"	Вставка значения ранее сохраненной переменной в реквизит	Nella tabella "%1 NomeTabella" nel campo "%2 NomeCampo" inserisco il valore della variabile "%3 NomeVariabile"	Inserimento nel requisito del valore di variabile precedentemente memorizzata
И В таблице "%1 Список" я перехожу на первую строку	Переходим в ТЧ на первую строку	E nella tabella "%1 Lista" vado sulla prima riga	Va nella parte tabellare sulla prima riga
И В таблице "%1 Список" я перехожу на последнюю строку	Переходим в ТЧ на последнюю строку	E nella tabella "%1 Lista" vado sull'ultima riga	Va nella parte tabellare sull'ultima riga
И В таблице "%1 ИмяТаблицы" поле "%2 ИмяРеквизита" доступно	Проверка доступности элемента таблицы	E nella tabella "%1 NomeTabella" il campo "%2 NomeRequisito" è disponibile	Verificare la disponibilità dell'elemento della tabella
И В таблице "%1 ИмяТаблицы" поле "%2 ИмяРеквизита" доступно только для просмотра	Проверка установленного флага "Только просмотр" для реквизита в таблице	E nella tabella "%1 NomeTabella" il campo "%2 NomeRequisito" è disponibile solo per visualizzazione	Controllare impostazione del flag "Solo visualizzazione" per il requisito nella tabella
И В таблице "%1 ИмяТаблицы" поле "%2 ИмяРеквизита" не доступно	Проверка не доступности элемента таблицы	E nella tabella "%1 NomeTabella" il campo "%2 NomeRequisito" non disponibile	Verifica non disponibilità di un elemento della tabella
И В таблице "%1 ИмяТаблицы" поле с именем "%2 ИмяРеквизита" доступно	Проверка доступности элемента таблицы	E nella tabella "%1 NomeTabella" il campo denominato "%2 NomeRequisito" è disponibili	Verificare la disponibilità dell'elemento della tabella
И В таблице "%1 ИмяТаблицы" поле с именем "%2 ИмяРеквизита" доступно не только для просмотра	Проверка установленного флага "Только просмотр" для реквизита в таблице	E nella tabella "%1 NomeTabella" il campo con il nome "%2 NomeRequisito" è disponibile solo per visualizzazione	Controllare impostazione del flag "Solo visualizzazione" per il requisito nella tabella
И В таблице "%1 ИмяТаблицы" поле с именем "%2 ИмяРеквизита" не доступно	Проверка не доступности элемента таблицы	E nella tabella "%1 NomeTabella" il campo denominato "%2 NomeRequisito" non è disponibile	Verifica non disponibilità di un elemento della tabella
И в таблице "%1 ИмяТаблицы" я снимаю флаг "%2 ИмяФлага"	Устанавливает флаг в Ложь	E nella tabella "%1 NomeTabella" tolgo il flag "%2 NomeFlag"	Si imposta il flag su FALSO
И в таблице "%1 ИмяТаблицы" я устанавливаю флаг "%2 ИмяФлага"	Устанавливает флаг в Истина	E nella tabella "%1 NomeTabella" metto il flag "%2 NomeFlag"	Si imposta un flag nel VERO
И В таблице "%1 ИмяТаблицы" поле с именем "%2 ИмяПоля" доступно только для просмотра	Проверка установленного флага "Только просмотр" для реквизита в таблице	E nella tabella "%1 NomeTabella" il campo con il nome "%2 NomeCampo" è disponibile solo per visualizzazione	Controllare impostazione del flag "Solo visualizzazione" per il requisito nella tabella
И из выпадающего списка "%1 ИмяПоля" я выбираю "%2 ЗначениеПоля"	Выбор из выпадающего списка	E dall'elenco a discesa "%1 NomeCampo" down Io scelgo "%2 ValoreCampo"	Selezionare dall'elenco a discesa
И Пауза "%1 1"	Позволяет сделать паузу нужной длительности.	E Pausa "%1 1"	Consente di mettere una pausa della durata desiderata.
И поле "%1 Имя поля" не существует	Проверка не существования поля	E il campo "%1 Nome campo" non esiste	Controllo non è l'esistenza del campo
И поле "%1 Имя поля" отсутствует на форме	Проверка невидимости поля	E il campo "%1 Nome del campo" non è presente sulla forma	Controlla campo invisibile
И поле "%1 Имя поля" присутствует на форме	Проверка видимости поля	E il campo "%1 Nome campo" è presente sulla forma	Verifica la visibilità del campo
И поле "%1 Имя поля" существует	Проверка существования поля	E il "%1 Nome campo" esiste	Controllo l'esistenza del campo
И поле с именем "%1 ИмяПоля" имеет заголовок "%2 Заголовок"	Проверка, что у поля нужный заголовок. Поле ищется по внутреннему идентификатору.	E il campo denominato "%1 NomeCampo" ha un titolo "%2 Titolo"	Verifica che il campo ha intestazione corretta. Il campo viene cercato per l'identificatore interno.
И поле с именем "%1 ИмяПоля" не существует	Проверка не существования поля	E il campo denominato "NomeCampo%1" non esiste	Controllo non è l'esistenza del campo
И поле с именем "%1 ИмяПоля" отсутствует на форме	Проверка невидимости поля	E il campo denominato "%1 Nome del campo" non è presente sulla forma	Controlla campo invisibile
И поле с именем "%1 ИмяПоля" присутствует на форме	Проверка видимости поля	E il campo denominato "%1 Nome campo" è presente sulla forma	Verifica la visibilità del campo
И поле с именем "%1 ИмяПоля" существует	Проверка существования поля	E il campo denominato "%1 NomeCampo" esiste	Controllo l'esistenza del campo
И таблица формы с именем "%1 ИмяТаблицы" содержит строки	Проверяет, что таблица TestClient содержит строки таблицы Gherkin	E una tabella della forma con il nome "%1 NomeTabella" contiene le righe	Verifica che la tabella TestClient contiene righe della tabella Gherkin
И таблица формы с именем "%1 ИмяТаблицы" стала равной	Проверяет, что таблица TestClient стала равна таблице Gherkin	E tabella della forma con il nome "%1 NomeTabella" è diventata uguale	Verifica che la tabella TestClient è diventata uguale alla tabella Gherkin
И табличный документ формы с именем "%1 РеквизитТабличныйДокумент" стал пустым	Проверяет, что табличный документ пустой	E il documento tabellare con il nome "%1 RequisitoDocumentoTabellare" è diventato vuoto	Verifica che un documento tabellare è vuoto
И табличный документ формы с именем "%1 РеквизитТабличныйДокумент" стал равен	Проверяет равенство табличного документа переданной таблице Gherkin. Необходимо указать параметры считывания макета.	E documento tabellare della forma con il nome "%1 RequisitoDocumentoTabellare" è diventato uguale	Controlla l'uguaglianza del documento tabellare e della tabella trasmessa a Gherkin. È necessario specificare i parametri del layout.
И у поля "%1 Имя поля" я перехожу к дате "%2 08.04.1981"	Делает переход к дате в поля календаря	E nel campo "%1 Nome campo" io vado alla data "%2 08.04.1981"	Va nella data del calendario desiderata
И у поля "%1 ИмяПоля" я выбираю пункт контекстного меню "%2 ИмяПунктаМеню"	Выбирает нужный пункт контекстного меню у поля	E nel campo "%1 NomeCampo" io scelto la voce del menu contestuale "%2 NomeVoceMenu"	Seleziona una voce nel menu contestuale del campo
И у поля с именем "%1 ИмяПоля" я выбираю пункт контекстного меню "%2 ИмяПунктаМеню"	Выбирает нужный пункт контекстного меню у поля	E nel campo con il nome "%1 NomeCampo" io celgo la voce di menu contestuale "%2 NomeVoceMenu"	Seleziona una voce nel menu contestuale del campo
И у поля с именем "%1 ИмяПоля" я перехожу к дате "%2 08.04.1981"	Делает переход к дате в поля календаря	E nel campo con il nome "%1 Nome campo" io vado alla data "%2 08.04.1981"	Va nella data del calendario desiderata
И у поля с именем "%1 ИмяПоля" текст подсказки равен "%2 Заголовок"	Проверка, что у поля нужный текст подсказки. Поле ищется по внутреннему идентификатору.	E il campo con il nome "%1 NomeCampo" il testo del suggerimento tooltip è "%2 Titolo"	Verifica che il campo ha il testo del suggerimento tooltip corretto. Il campo viene cercato per l'identificatore interno.
И у табличного документа с именем "%1 ТабДок" я ввожу текст "%2 222"	Вводит текст в нужную ячейку табличного документа	E nel documento tabellare con il nome "%1 TabDok" io inserisco il testo "%2222"	Inserisce il testo nella cella desiderata del  documento tabellare
И у табличного документа с именем "%1 ТабДок" я перехожу к ячейке "%2 R4C2"	Делает нужную ячейку табличного документа активной	E nel documento tabellare con il nome "%1 TabDoc" vado alla posizione "%2 R4C2"	Rende una cella desiderata del documento tabellare attiva
И флаг "%1 ИмяФлага" равен "%2 Истина"	Проверяет значение флага	E flag è "%1 NomeFlag%" è "%2 Vero"	Controlla il valore del flag
И элемент формы "%1 ИмяЭлемента" доступен	Проверка доступности элемента формы	E l'elemento della forma "%1 NomeElemento" è disponibile	Verificare la disponibilità dell'elemento della forma
И элемент формы "%1 ИмяЭлемента" не доступен	Проверка доступности элемента формы	E l'elemento della forma "%1 NomeElemento" non è disponibile	Verificare la disponibilità dell'elemento della forma
И элемент формы с именем "%1 ИмяЭлемента" доступен	Проверка доступности элемента формы	E l'elemento della forma denominato "%1 NomeElemento" è disponibile	Verificare la disponibilità dell'elemento della forma
И элемент формы с именем "%1 ИмяЭлемента" не доступен	Проверка доступности элемента формы	E l'elemento della forma denpminato "%1 NomeElemento" non è disponibile	Verificare la disponibilità dell'elemento della forma
И я буду выбирать внешний файл "%1 ИмяФайла"	Устанавливает результат диалога выбора файла.	E devo scegliere un file esterno "%1 NomeFile"	Imposta il risultato del dialogo di selezione dei file.
И я выбираю значение реквизита "%1 ИмяПоля" из формы списка	Нажимает на кнопку "Выбрать из списка" у поля	E scelgo il valore del requisito "%1 NomeCampo" dalla forma di elenco	Click sul pulsante "Seleziona dall'elenco" del campo
И я выбираю значение реквизита с именем "%1 ИмяПоля" из формы списка	Нажимает на кнопку "Выбрать из списка" у поля	E scelgo il valore del requisito denominato "%1 NomeCampo" dalla forma di elenco	Click sul pulsante "Seleziona dall'elenco" del campo
И я жду когда в табличном документе "%1 РеквизитТабличныйДокумент" заполнится ячейка "%2 r4c2" в течение "%3 120" секунд	По таймеру проверяет, что указанная ячейка табличного документа не пустая.	E io attendo quando in un documento tabellare "%1 RequisitoDocumentoTabellare" riempire cella "%2 r4c2" per "%3 120" secondi	Timer controlla che la cella selezionata del documento tabellare non è vuota.
И Я закрываю окно "%1 ИмяФормы"	Закрывает окно с нужным заголовком	E chiudo la finestra "%1 NomeForma"	Chiude la finestra con il titolo desiderato
И Я закрываю текущее окно	Закрывает активное окно	E chiudo la finestra corrente	Chiude la finestra attiva
И я запоминаю значение поля "%1 ИмяПоля" как "%2 ПеременнаяНомерДокумента"	Сохранение значения поля в переменную Контекст	Io memorizzo il valore del campo "%1 NomeCampo" come "%2 VariabileNumeroDocumento"	Memorizzare il valore del campo nella variabile Context
И я запоминаю значение поля "%1 ИмяПоля" как "%2 НомерДокумента" глобально	Сохранение значения поля в переменную КонтекстСохраняемый	Io memorizzo il valore del campo "%1 NomeCampo" come "%2 NumeroDocumento" globalmente	Memorizzare il valore del campo nella variabile ContextSaved
И я запоминаю значение поля "%1 ИмяПоля" с ключом "%2 Номер документа"	Сохранение значения поля в переменную Контекст с произвольным ключом	Memorizzo il valore del campo "%1 NomeCampo" con la chiave "%2 Numero documento"	Memorizzare il valore del campo nella variabile Context con una chiave casuale
И я запоминаю значение поля "%1 ИмяПоля" с ключом "%2 Номер документа" глобально	Сохранение значения поля в переменную КонтекстСохраняемый с произвольным ключом	Memorizzo il valore del campo "%1 NomeCampo" con la chiave "%2 Numero documento" globalmente	Memorizzare il valore del campo nella variabile ContextSaved con la chiave casuale
И я запоминаю значение таблицы "%1 ИмяТаблицы" поля "%2 ИмяПоля" как "%3 ПеременнаяНомерДокумента"	Сохранение значения поля таблицы в переменную Контекст	E memorizzo il valore della tabella "%1 NomeTabella" del campo "%2 NomeCampo" come "%2 VariabileNumeroDocumento"	Memorizzazione di un valore in campi della tabella contesto variabili
И я изменяю флаг "%1 ИмяФлага"	Изменяет текущее состояние флага	E cambio flag "%1 NomeFlag"	Cambia lo stato attuale del flag
И я изменяю флаг с именем "%1 ИмяФлага"	Изменяет текущее состояние флага	E cambio flag con il nome "%1 NomeFlag"	Cambia lo stato attuale del flag
И я меняю значение переключателя "%1 Реквизит переключатель" на "%2 Первое значение"	Меняет значение переключателя (радиобаттона)	E io cambio il valore dell'interruttore "%1 Requisito interruttore" al valore "%2 Il primo valore"	Modifiche valore dell'interruttore (radiobutton)
И я меняю значение переключателя с именем "%1 РеквизитПереключатель" на "%2 Первое значение"	Меняет значение переключателя (радиобаттона)	E io cambio il valore dello interruttore con il nome "%1 RequisitoInterruttore" a "%2 Il primo valore"	Modifiche valore dell'interruttore (radiobutton)
И я нажимаю кнопку выбора у поля "%1 Имя поля"	Нажимает на кнопку выбора у поля	E premo il pulsante di selezione nel campo "%1 Nome del ampo"	Click sul pulsante del campo
И я нажимаю кнопку очистить у поля "%1 ИмяПоля"	Очищает поле	E clicco il pulsante pulire vicino al campo "%1 NomeCampo"	Cancella il campo
И я нажимаю кнопку очистить у поля с именем "%1 ИмяПоля"	Очищает поле	E clicco il pulsante pulire vicino al campo con il nome "%1 NomeCampo"	Cancella il campo
И я нажимаю на гиперссылку "%1 Гиперссылка"	Нажатие на гиперссылку.	E clicco sul collegamento ipertestuale "%1 Link"	Clic sul link.
И я нажимаю на гиперссылку с именем "%1 Гиперссылка"	Нажатие на гиперссылку.	E clicco sul link con il nome "%1 Link"	Clic sul link.
И я открываю выпадающий список "%1 Имя списка"	Открывает выпадающий список	E apro un elenco a discesa "%1 Nome Elenco"	Si apre un elenco a discesa
И Я открываю форму документа "%1 АвтоВзаимозачет" заполненного на основании не проведенного "%2 ПоступлениеАвтомобилей"	Открытие формы на основании не проведенного документа	E apro la forma del documento "%1 AvtoVzaimozachet" riempito sulla base del documento processato "%2 PostuplenieAvtomobiley"	Apertura della forma sulla base del documento non processato
И Я открываю форму документа "%1 АвтоВзаимозачет" заполненного на основании проведенного "%2 ПоступлениеАвтомобилей"	Открытие формы на основании проведенного документа	E apro la forma del documento "%1 AvtoVzaimozachet" riempito sulla base del documento processato "%2 PostuplenieAvtomobiley"	Apertura della forma sulla base del documento processato
И Я очищаю окно сообщений пользователю	Очищает окно сообщений пользователю.	E svuoto la finestra dei messaggi per l'utente	Cancella la finestra dei messaggi per l'utente.
И я разворачиваю группу "%1 ИмяГруппы"	Разворачивает группу	Espando il gruppo "%1 NomeGruppo"	Espande il gruppo
И я разворачиваю группу с именем "%1 ИмяГруппы"	Разворачивает группу	Espando il gruppo con il nome "%1 GroupName"	Espande il gruppo
И я сворачиваю группу "%1 ИмяГруппы"	Сворачивает группу	Comprimo il gruppo "%1 GroupName"	Comprime il gruppo
И я сворачиваю группу с именем "%1 ИмяГруппы"	Сворачивает группу	Comprimo il gruppo con il nome "%1 GroupName"	Comprime il gruppo
И я снимаю флаг "%1 ИмяФлага"	Устанавливает флаг в Ложь	E tolgo il flag "%1 NomeFlag"	Si imposta il flag su FALSO
И я снимаю флаг с именем "%1 ИмяФлага"	Устанавливает флаг в Ложь	E tolgo il flag con il nome "%1 NomeFlag"	Si imposta il flag su FALSO
И Я создаю fixtures по макету "%1 Макет"	Создает данные из макета MXL	E creo fixtures dal modello "%1 Modello"	Crea i dati dal modello MXL
И я устанавливаю флаг "%1 ИмяФлага"	Устанавливает флаг в Истина	E io imposto il flag "%1 NomeFlag"	Si imposta il flag uguale VERO
И я устанавливаю флаг с именем "%1 ИмяФлага"	Устанавливает флаг в Истина	E io imposto il flag denominato "%1 NomeFlag"	Si imposta il flag uguale VERO
"И в таблице ""%1 Список"" я разворачиваю строку
		| Наименование |
		|    Товар1    |"	Развернуть группу строк	"E nella tabella ""%1 Lista"" espando di riga
  | Nome |
  |    Merce1    |"	Espande il gruppo di righe
И в таблице "%1 Список" я разворачиваю текущую строку	Развернуть текущую строку таблицы/дерева	E nella tabella "%1 Lista" io espando la riga corrente	Espande la riga corrente della tabella / albero
"И в таблице ""%1 Список"" я сворачиваю строку
		| Наименование |
		|    Товар1    |"	Свернуть группу строк	"E nella tabella ""%1 Lista"" io piego la riga
 | Nome | 
 | Merce1 |"	Comprime gruppo di righe
И в таблице "%1 Список" я сворачиваю текущую строку	Свернуть текущую строку таблицы/дерева	E nella tabella "%1 Lista" comprimo la riga corrente	Comprimere la riga corrente della tabella / albero
И Я закрыл все окна клиентского приложения	Закрывает все окна текущего TestClient.	E Io chiudo tutte le finestre dell'applicazione client	Chiudere tutte le finestre per il TestClient corrente.
И Я закрыл все окна клиентского приложения кроме "%1 Нужное окно"	Закрывает все окна текущего TestClient, кроме нужного окна.	E ho chiuso tutte le applicazioni di Windows client diverso da "%1 Finestra desiderata"	Chiudere tutte le finestre del TestClient corrente, salvo la finestra desiderata.
И В таблице "%1 ИмяТаблицы" я нажимаю кнопку выбора у реквизита "%2 ИмяКолонки"	Нажатие кнопки выбора у реквизита в таблице	E Nella tabella "%1 NomeTabella" io premo il pulsante di selezione vicino il requisito "%2 NomeColonna"	Premere il pulsante di selezione del requisito in tabella
И В таблице "%1 ИмяТаблицы" я нажимаю кнопку выбора у реквизита с именем "%2 ИмяКолонки"	Нажатие кнопки выбора у реквизита в таблице	E Nella tabella "%1 NomeTabella" si preme il pulsante di selezione vicino al requisito con il nome "%2 NomeColonna"	Premere il pulsante di selezione vicino al requisito nella tabella
И В таблице "%1 ИмяТаблицы" я нажимаю кнопку очистить у поля "%2 ИмяКолонки"	Нажатие кнопки очистить у поля в таблице	E Nella tabella "%1 NomeTabella" io premo il pulsante pulire vicino al campo "%2 NomeColonna"	Premere il pulsante pulire vicino al campo nella tabella
И В таблице "%1 ИмяТаблицы" я нажимаю кнопку очистить у поля с именем "%2 ИмяКолонки"	Нажатие кнопки очистить у поля в таблице	E lNela tabella "%1 NomeTabella" premo il pulsante pulire vicino al campo con il nome "%2 NomeColonna"	Premere il pulsante pulire vicino al campo nella tabella
И В таблице "%1 ИмяТаблицы" из выпадающего списка "%2 ИмяПоля" я выбираю "%3 ЗначениеПоля" с выбором	Выбор из выпадающего списка в таблице с дополнительным вызовом метода Выбрать(). Применялось на 8.3.6.	E Nella tabella "%1 NomeTabella" dall'elenco a discesa "%2 NomeCampo" io scelgo "%3 ValoreCampo" con la scelta	Selezione dall'elenco a discesa nella tabella con un ulteriore chiamata del metodo Select (). Utilizzato nella versione 8.3.6.
И выражение внутреннего языка "%1 Контекст.КоличествоФинальное - Контекст.КоличествоНачальное = 1" Истинно	Позволяет проверить произвольное выражение встроенного языка	E l'espressione del linguaggio interno "%1 Contecst.QuantitaFinale - Contecst.QuantitaIniziale = 1" è Vero	Consente di controllare l'espressione del linguaggio interno
И для каждой строки таблицы "%1 ИмяТаблицы" я выполняю	Цикл. Выполняет шаги для каждой строки таблицы	E per ogni riga della tabella "%1 NomeTabella" sto facendo	Ciclo. Esegue i passi per ogni riga della tabella
И Пока в таблице "%1 ИмяТаблицы" количество строк "%2 >" "%3 0" Тогда	Цикл. Выполняет шаги до тех пор, пока в таблице есть строки	E Fino che nella tabella "%1 NomeTabella" il numero di righe "%2 >" "%3 0" Allora	Ciclo. Esegue procedura finché la tabella contiene righe
И Пока выражение встроенного языка "%1 Контекст.СлужебнаяПеременная < 2" истинно тогда	Цикл. Выполняет шаги пока истинно условие	E Fino che l'espressione del linguaggio interno "%1 Context.VariabileInterna < 2" è vero allora	Ciclo. Esegue i passaggi fino a quando la condizione è vera
И поле "%1 Имя поля" заполнено	Проверяет заполненность поля формы	E il campo "%1 Nome campo" compilato	Controlla compilazione del campo della forma
И табличный документ "%1 ТабДок" соответствует макету "%2 ИмяТабличногоДокумента"	Сравнивает значения макета с эталоном. Макет ищется сначала в обработке фича файла, затем в каталоге проекта.	E documento tabellare "%1 TabDoc" corrisponde al layout "%2 NomeDocumentoTabellare"	Confronta i valori del layout con quelli di standard. Layout è cercato prima nella elaborazione di un file funzione, quindi nella directory del progetto.
И у элемента "%1 Имя элемента" я жду значения "%2 Значение"	Ожидание что элемент формы примет нужное значение (таймаут 10)	E sto aspettando chela voce "%1 Nome elemento" prende il valore "%2 Valore"	Attesa che l'elemento prende un valore desiderato (timeout 10)
И у элемента "%1 Имя элемента" я жду значения "%2 Значение" в течении "%3 20" секунд	Ожидание что элемент формы примет нужное значение в течении нужного времени. Иначе будет вызвано исключение.	E sto aspettando chela voce "%1 Nome elemento" prende il valore "%2 Valore" durante "%3 20" secondi	Attesa che l'elemento della forma assumerà il valore richiesto entro il tempo desiderato. Altrimenti sarà un'eccezione.
И у элемента с именем "%1 ИмяЭлемента" я жду значения "%2 Значение"	Ожидание что элемент формы примет нужное значение (таймаут 10)	E sto aspettando che l'elemento con il nome "%1 NomeElemento" prende il valore "%2 Valore"	Attesa che l'elemento della forma prenderà un valore desiderato (timeout 10)
И у элемента с именем "%1 ИмяЭлемента" я жду значения "%2 Значение" в течении "%3 20" секунд	Ожидание что элемент формы примет нужное значение в течении нужного времени. Иначе будет вызвано исключение.	E sto aspettando che l'elemento "%1 NomeElemento" prende il valore "%2 Valore" durante "%3 20" secondi	Attesa che l'elemento della forma assumerà il valore richiesto entro il tempo desiderato. Altrimenti sarà un'eccezione.
И элемент "%1 Имя элемента" доступен только для просмотра	Проверка отсутствия флага "Только просмотр"	E l'elemento "%1 Nome elemento" è disponibile per la visualizzazione	Verifica l'assenza del flag "Solo visualizzazione"
И элемент "%1 ИмяПоля" доступен не только для просмотра	Проверка установленного флага "Только просмотр"	E l'elemento "%1 NomeCampo" è disponibile non solo per la visualizzazione	Controllare impostazione del flag "Solo visualizzazione"
И элемент с именем "%1 ИмяЭлемента" доступен для просмотра	Проверка отсутствия флага "Только просмотр"	E l'elemento denominato "%1 NomeElemento" è disponibile per la visualizzazione	Verifica flag "Solo visualizzazione"
И элемент с именем "%1 ИмяПоля" доступен не только для просмотра	Проверка установленного флага "Только просмотр"	E l'elemento denominato "%1 NomeCampo" è disponibile non solo per la visualizzazione	Controllare impostazione del flag "Solo visualizzazione"
И я активизирую TestClient "%1 ИмяКлиента"	Позволяет переключить контекст на нужный TestClient	E io attivo TestClient "%1 NomeCliente"	Consente di passare il contesto sul TestClient desiderato
И я активизирую окно "%1 ИмяФормы"	Активизирует окно с нужным заголовком	E io attivo la finestra "%1 NomeForma"	Attiva la finestra con il titolo desiderato
И я активизирую поле "%1 Имя поля"	Сделать поле активным	E attivo il campo "%1 Nome campo"	Fare il campo attivo
И я активизирую поле с именем "%1 ИмяПоля"	Сделать поле активным	E attivo il campo con il nome "%1 Nome campo"	Fare il campo attivo
И я вижу элемент "%1 Имя элемента"	Проверяет видимость элемента на форме	E vedo l'elemento "%1 Nome elemento"	Verifica la visibilità dell'elemento sulla forma
И я вижу элемент "%1 Имя элемента" на форме	Проверяет видимость элемента на форме	E vedo l'elemento "%1 Nome elemento" sulla forma	Verifica la visibilità dell'elemento sulla forma
И я вижу элемент с именем "%1 ИмяЭлемента"	Проверяет видимость элемента на форме	E vedo l'elemento denominato "%1 Nome elemento"	Verifica la visibilità dell'elemento sulla forma
И я вижу элемент с именем "%1 ИмяЭлемента" на форме	Проверяет видимость элемента на форме	E vedo un elemento denominato "%1 NomeElemento"  sulla forma	Verifica la visibilità dell'elemento sulla forma
И я жду закрытия окна "%1 Имя окна" в течении "%2 600" секунд	Ожидает, что окно исчезнет в течении указанного числа секунд	E attendo di chiudere la finestra "%1 Nome finestra" durante "%2 600" secondi	Attende che la finestra scompare entro un determinato numero di secondi
И я жду появления элемента "%1 Имя элемента"	Ожидание появления элемента формы с нужным заголовком	E sto aspettando la comparsa dell'elemento "%1 Nome Prodotto"	Attesa del elemento della forma con il titolo desiderato
И я жду появления элемента "%1 Имя элемента" в течении "%2 Таймаут" секунд	Ожидание появления элемента формы с нужным заголовком в течении указанного числа секунд	E sto aspettando la comparsa dell'elemento "%1 Prodotto Name" durante i secondi "%2 timeout"	Attesa del elemento della forma con il titolo desiderato durante il numero di secondi specificato
И я жду появления элемента с именем "%1 ИмяЭлемента"	Ожидание появления элемента формы с нужным именем	E sto aspettando la comparsa di un elemento con il nome "%1 NomeElemento"	Attesa del elemento della forma con il nome desiderato
И я жду появления элемента с именем "%1 ИмяЭлемента" в течении "%2 Таймаут" секунд	Ожидание появления элемента формы с нужным именем в течении указанного числа секунд	E sto aspettando la comparsa di un elemento con il nome "%1 NomeElemento" dentro "%2 timeout" secondi	Attesa del elemento della forma con il nome desiderato durante il numero di secondi specificato
И Я завершаю редактирование строки	Завершение редактирования строки	E ho finito l'editing della riga	Completamento di modifica della riga
И я закрываю TestClient "%1 ИмяКлиента"	Закрывает указанный TestClient Перед этим закрывает все окна в нём.	E chiudo TestClient "%1 NomeCliente"	Chiude la TestClient specificato, prima chiude tutte le finestre in esso.
И Я закрываю окно предупреждения	Закрывает окно предупреждения если оно есть	E io chiudo la finestra di avviso	Chiude la finestra di avviso se esiste
И я закрываю сеанс TESTCLIENT	Закрывает сеанс TestClient	E chiudo la sessione di TestClient	Si chiude la sessione di TestClient
И Я запоминаю значение выражения "%1 Ванесса.ПолучитьМассивPIDОкон1С().Количество()" в переменную "%2 КоличествоНачальное"	Позволяет сохранить в переменную Контекст произвольное выражение встроенного языка	E io memorizzo l'espressione "%1 Vanessa.GetArrayPIDOkon1S ().Quantity()" nella variabile "%2 QuantitàIniziale"	Consente di salvare nella variabile Contesto qualsiasi espressione del linguaggio interno
И Я запоминаю значение выражения "%1 Ванесса.ПолучитьМассивPIDОкон1С().Количество()" в переменную "%2 КоличествоНачальное" глобально	Позволяет сохранить в переменную КонтекстСохраняемый произвольное выражение встроенного языка	E io memorizzo l'espressione "%1 Vanessa.ПолучитьМассивPIDОкон1С().Quantita" nella variabile "%2 QuantitaIniziale" globalmente	Consente di salvare in una variabile ContestoSalvato un'espressione del linguaggio interno
И я запоминаю текущее окно как "%1 НужныйМнеЗаголовокОкна"	Сохранение значения заголовка текущего окна в переменную Контекст	E salvo la finestra corrente come "%1 TitoloFinestraDesiderato"	Salva il valore del titolo della finestra attuale nella variabile Context
И я не вижу элемент "%1 Имя элемента"	Проверяет не видимость элемента на форме	E non vedo l'elemento "%1 Nome elemento"	Controlla che l'elemento sulla forma è invisibile
И я не вижу элемент "%1 Имя элемента" на форме	Проверяет не видимость элемента на форме	E non vedo l'elemento "%1 Nome elemento" sulla forma	Controlla che l'elemento sulla forma è invisibile
И я не вижу элемент с именем "%1 ИмяЭлемента"	Проверяет не видимость элемента на форме	E non vedo l'elemento con il nome "%1 Nome elemento"	Controlla che l'elemento sulla forma è invisibile
И я не вижу элемент с именем "%1 ИмяЭлемента" на форме	Проверяет не видимость элемента на форме	E non vedo l'elemento con il nome "%1 Nome elemento" sulla forma	Controlla che l'elemento sulla forma è invisibile
И Я очищаю фильтр на форме списка	Позволяет сбросить фильтр на список через меню "Ещё/Настроить список"	E pulisco il filtro sulla forma di elenco	Consente svuotare il filtro sulla lista cliccando su "More / Setup list"
И я подключаю TestClient "%1 ИмяКлиента" логин "%2 Пользователь1" пароль "%3 1"	Позволяет подключить TestClient с нужным логином и паролем в тойже базе, в которой запущен TestManager	E connetto TestClient "%1 NomeCliente" login "%2 Utente1" password "%3 1"	Consente collegare TestClient con il nome utente e la password appropriati nella stessa base, dove è in esecuzione TestManager
И Я подключаю клиент тестирования "%1 ИмяКлиентаТестирования" из таблицы клиентов тестирования	Подключает клиента тестирования по имени профиля	E connetto il client di test "%1 NomeClienteTest" dalla tabella dei clienti per test	Collega il client di test con il nome del profilo
И я подключаю профиль TestClient "%1 Оператор"	Позволяет подключить TestClient по имени уже существующего профиля	E mi connetto il profilo TestClient "%1 Operatore"	Permette di collegare TestClient con il nome del profilo già esistente
И я удаляю все строки таблицы "%1 График"	Очистить таблицу	E io elimino tutte le righe della tabella "%1 Grafico"	Svuotare tabella
"И Я устанавливаю фильтр на список
   | Наименование | Содержит | Товар1 |"	Позволяет установить фильтр на список через меню "Ещё/Настроить список"	"E io metto un filtro sulla lista
   | Nome | Contiene | Merce1 |"	Consente installare un filtro sulla lista cliccando su menu "More / Setup list"
"И Я устанавливаю фильтр на список если это возможно
   | Наименование | Содержит | Товар1 |"	Позволяет установить фильтр на список через меню "Ещё/Настроить список". Причём если такого поля нет, то исключение вызываться не будет.	"E metto un filtro sulla lista se è possibile
   | Nome | Contiene | Merce1 |"	Consente di mettere un filtro sulla lista cliccando su menu "More / Setup list". Se tale campo non è presente, allora l'eccezione non verrà chiamata.
