Шаг оригинал	Описание	Перевод шага	Перевод описания
И Я закрываю окно "%1 ИмяОкна"	Закрывает окно с нужным заголовком	Và Tôi đóng cửa sổ "%1 TênCửaSổ"	Đóng cửa sổ với tiêu đề cần thiết
И Я закрываю текущее окно	Закрывает активное окно	Và Tôi đóng cửa sổ hiện tại	Đóng cửa sổ hiện hoạt
И Я открываю форму документа "%1 АвтоВзаимозачет" заполненного на основании не проведенного "%2 ПоступлениеАвтомобилей"	Открытие формы на основании не проведенного документа	Và Tôi mở biểu mẫu chứng từ "%1 TựĐộngBùTrừ" đã điền trên cơ sở chứng từ chưa kết chuyển "%2 TiếpNhậnXeÔTô"	Mở biểu mẫu trên cơ sở chứng từ chưa kết chuyển
И Я открываю форму документа "%1 АвтоВзаимозачет" заполненного на основании проведенного "%2 ПоступлениеАвтомобилей"	Открытие формы на основании проведенного документа	Và Tôi mở biểu mẫu chứng từ "%1 TựĐộngBùTrừ" đã điền trên cơ sở chứng từ đã kết chuyển "%2 TiếpNhậnXeÔTô"	Mở biểu mẫu trên cơ sở chứng từ đã kết chuyển
И Я очищаю окно сообщений пользователю	Очищает окно сообщений пользователю.	Và Tôi xóa cửa sổ thông báo cho người sử dụng	Xóa cửa sổ thông báo cho người sử dụng.
И Я создаю fixtures по макету "%1 Макет"	Создает данные из макета MXL	Và Tôi sẽ tạo thiết bị theo khuôn in "%1 Khuôn in"	Tạo dữ liệu từ khuôn in MXL
"И в таблице ""%1 ИмяТаблицы"" я разворачиваю строку:
		| Наименование |
		|    Товар1    |"	Развернуть группу строк	"Và trong bảng ""%1 TênBảng"" tôi mở ra dòng:
  | Tên gọi |
  |    HàngHóa1    |"	Mở nhóm dòng ra
И в таблице "%1 ИмяТаблицы" я разворачиваю текущую строку	Развернуть текущую строку таблицы/дерева	Và trong bảng "%1 TênBảng" tôi mở ra dòng hiện tại	Mở ra dòng hiện tại của bảng/của cây
"И в таблице ""%1 ИмяТаблицы"" я сворачиваю строку:
		| Наименование |
		|    Товар1    |"	Свернуть группу строк	"Và trong bảng ""%1 TênBảng"" tôi cuộn lại dòng:
  | Tên gọi |
  |    HàngHóa1    |"	Cuộn nhóm của dòng
И в таблице "%1 ИмяТаблицы" я сворачиваю текущую строку	Свернуть текущую строку таблицы/дерева	Và trong bảng "%1 TênBảng" tôi cuộn lại dòng hiện tại	Cuộn dòng hiện tại của bảng/của cây
И Я закрыл все окна клиентского приложения	Закрывает все окна текущего TestClient.	Và Tôi đóng tất cả cửa sổ của ứng dụng Client	Đóng tất cả cửa sổ của TestClient hiện tại.
И Я закрыл все окна клиентского приложения кроме "%1 Нужное окно"	Закрывает все окна текущего TestClient, кроме нужного окна.	Và Tôi đóng tất cả cửa sổ của ứng dụng Client ngoại trừ "%1 Cửa sổ cần thiết"	Đóng tất cả cửa sổ của TestClient hiện tại, ngoại trừ cửa sổ cần thiết.
И В командном интерфейсе я выбираю "%1 ИмяКомандыПанелиРазделов" "%2 ИмяКомандыПанелиФункций"	Нажатие кнопки на панели разделов, затем в панели функций.	Và Trong giao diện lệnh, tôi chọn "%1 TênLệnhCủaThanhLệnhPhầnHành" "%2 TênLệnhCủaThanhLệnhChứcNăng"	Nhấn nút trên thanh lệnh các phần hành, sau đó trên thanh lệnh chức năng.
И в меню формы я выбираю "%1 ИмяПунктаМеню"	Выбирает значение из пункта меню. Например, когда происходит расшифровка отчета.	Và trong menu của biểu mẫu, tôi chọn "%1 TênMụcCủaMenu"	Chọn giá trị từ menu. Ví dụ, khi tiến hành diễn giải báo cáo.
И В панели функций в группе "%1 Основное" я выбираю "%2 ИмяКоманды"	Нажатие кнопки на панели функций нужной группы	Và Trong thanh lệnh chức năng, trong nhóm "%1 Chính" tôi chọn "%2 TênLệnh"	Việc nhấn nút trên thanh lệnh chức năng của nhóm cần thiết
И В панели функций я выбираю "%1 ИмяКоманды"	Нажатие кнопки на панели функций	Và Trong thanh lệnh chức năng, tôi chọn "%1 TênLệnh"	Việc nhấn nút trên thanh lệnh chức năng
И в поле "%1 ИмяПоля" я ввожу значение выражения "%2 1+1"	Вычисляет выражение и вводит результат в поле	Và trong trường "%1 TênTrường" tôi sẽ nhập giá trị biểu thức "%2 1+1"	Tính biểu thức và nhập kết quả vào trường
И в поле "%1 ИмяПоля" я ввожу значение глобального ключа "%2 Ключ"	Вставка значения ранее сохраненного ключа в реквизит	Và trong trường "%1 TênTrường" tôi sẽ nhập giá trị khóa toàn cục "%2 Khóa"	Chèn giá trị của khóa đã lưu trước đó vào mục tin
И в поле "%1 ИмяПоля" я ввожу значение глобальной переменной "%2 ИмяПеременной"	Вставка значения ранее сохраненной переменной в реквизит	Và trong trường "%1 TênTrường" tôi sẽ nhập giá trị biến toàn cục "%2 TênBiến"	Chèn giá trị của biến đã lưu trước đó vào mục tin
И в поле "%1 ИмяПоля" я ввожу значение ключа "%2 Номер документа"	Вставка значения ранее сохраненного произвольного ключа в реквизит	Và trong trường "%1 TênTrường" tôi sẽ nhập giá trị khóa "%2 Số chứng từ"	Chèn giá trị của khóa tùy ý đã lưu trước đó vào mục tin
И в поле "%1 ИмяПоля" я ввожу значение переменной "%2 ИмяПеременной"	Вставка значения ранее сохраненной переменной в реквизит	Và trong trường "%1 TênTrường" tôi sẽ nhập giá trị biến "%2 TênBiến"	Chèn giá trị của biến đã lưu trước đó vào mục tin
И в поле "%1 ИмяПоля" я ввожу конец следующего месяца	Вводит в поле текстовое представление значения даты равной концу следующего месяца. Например "31.01.2018".	Và trong trường "%1 TênTrường" tôi sẽ nhập cuối tháng sau	Nhập vào trường cách trình bày văn bản giá trị ngày bằng giá trị ngày cuối cùng của tháng tiếp theo. Ví dụ "31.01.2018".
И в поле "%1 ИмяПоля" я ввожу конец текущего месяца	Вводит в поле текстовое представление значения даты равной концу текущего месяца. Например "31.01.2018".	Và trong trường "%1 TênTrường" tôi sẽ nhập cuối tháng này	Sẽ nhập vào trường cách trình bày văn bản giá trị ngày bằng giá trị ngày cuối cùng của tháng hiện tại. Ví dụ "31.01.2018".
И в поле "%1 ИмяПоля" я ввожу начало следующего месяца	Вводит в поле текстовое представление значения даты равной началу следующего месяца. Например "01.01.2018".	Và trong trường "%1 TênTrường" tôi sẽ nhập đầu tháng sau	Sẽ nhập vào trường cách trình bày văn bản giá trị ngày bằng giá trị ngày đầu tiên của tháng tiếp theo. Ví dụ "01.01.2018".
И в поле "%1 ИмяПоля" я ввожу начало текущего месяца	Вводит в поле текстовое представление значения даты равной началу текущего месяца. Например "01.01.2018".	Và trong trường "%1 TênTrường" tôi sẽ nhập đầu tháng này	Sẽ nhập vào trường cách trình bày văn bản giá trị ngày bằng giá trị ngày đầu tiên của tháng hiện tại. Ví dụ "01.01.2018".
И в поле "%1 ИмяПоля" я ввожу текст "%2 Значение поля"	Вводит текст в поле. Также вводит текст в форматированный документ и поле HTML документа.	Và trong trường "%1 TênTrường" tôi sẽ nhập nội dung "%2 Giá trị trường"	Sẽ nhập nội dung vào trường. Ngoài ra, sẽ nhập nội dung vào văn bản đã định dạng và trường của văn bản HTML.
И в поле "%1 ИмяПоля" я ввожу текст из макета "%2 ИмяМакета"	Вводит текст в поле. Текст будет взят из макета. Также вводит текст в форматированный документ и поле HTML документа.	Và trong trường "%1 TênTrường" tôi sẽ nhập nội dung từ khuôn in "%2 TênKhuônIn"	Sẽ nhập nội dung vào trường. Sẽ lấy nội dung từ khuôn in. Ngoài ra, sẽ nhập nội dung vào văn bản đã định dạng và trường của văn bản HTML.
И в поле "%1 ИмяПоля" я ввожу текущую дату	Вводит текстовое представление значения текущей даты в поле. Например "01.01.2018".	Và trong trường "%1 TênTrường" tôi sẽ nhập ngày hiện tại	Sẽ nhập trình bày văn bản giá trị của ngày hiện tại vào trường. Ví dụ "01.01.2018".
И в поле "%1 ИмяПоля" я ввожу текущую дату и текущее время	Вводит текстовое представление значения текущей даты и времени в поле. Например "01.01.2018 12:00:00".	Và trong trường "%1 TênTrường" tôi sẽ nhập ngày hiện tại và thời gian hiện tại	Sẽ nhập trình bày văn bản giá trị của ngày và thời gian hiện tại vào trường. Ví dụ "01.01.2018 12:00:00".
И в поле "%1 ИмяПоля" я увеличиваю значение	Увеличивает значение поля в помощью специальной кнопки	Và trong trường "%1 TênTrường" tôi tăng giá trị	Tăng giá trị trường bằng nút đặc biệt
И в поле "%1 ИмяПоля" я уменьшаю значение	Уменьшает значение поля в помощью специальной кнопки	Và trong trường "%1 TênTrường" tôi giảm giá trị	Giảm giá trị trường bằng nút đặc biệt
И в поле с именем "%1 ИмяПоля" ввожу значение глобального ключа "%2 Ключ"	Вставка значения ранее сохраненного произвольного ключа в реквизит	Và trong trường có tên gọi "%1 TênTrường" tôi sẽ nhập giá trị khóa toàn cục "%2 Khóa"	Chèn giá trị của khóa tùy ý đã lưu trước đó vào mục tin
И в поле с именем "%1 ИмяПоля" ввожу значение глобальной переменной "%2 ИмяПеременной"	Вставка значения ранее сохраненной переменной в реквизит	Và trong trường có tên gọi "%1 TênTrường" tôi sẽ nhập giá trị biến toàn cục "%2 TênBiến"	Chèn giá trị của biến đã lưu trước đó vào mục tin
И в поле с именем "%1 ИмяПоля" ввожу значение ключа "%2 Номер документа"	Вставка значения ранее сохраненного произвольного ключа в реквизит	Và trong trường có tên gọi "%1 TênTrường" tôi sẽ nhập giá trị khóa "%2 Số chứng từ"	Chèn giá trị của khóa tùy ý đã lưu trước đó vào mục tin
И в поле с именем "%1 ИмяПоля" ввожу значение переменной "%2 ИмяПеременной"	Вставка значения ранее сохраненной переменной в реквизит	Và trong trường có tên gọi "%1 TênTrường" tôi sẽ nhập giá trị biến "%2 TênBiến"	Chèn giá trị của biến đã lưu trước đó vào mục tin
И в поле с именем "%1 ИмяПоля" я ввожу значение выражения "%2 1+1"	Вычисляет выражение и вводит результат в поле	Và trong trường có tên gọi "%1 TênTrường" tôi sẽ nhập giá trị biểu thức "%2 1+1"	Tính biểu thức và nhập kết quả vào trường
И в поле с именем "%1 ИмяПоля" я ввожу текст "%2 Значение поля"	Вводит текст в поле. Также вводит текст в форматированный документ и поле HTML документа.	Và trong trường có tên gọi "%1 TênTrường" tôi sẽ nhập nội dung "%2 Giá trị trường"	Nhập nội dung vào trường. Ngoài ra, sẽ nhập nội dung vào văn bản đã định dạng và trường của văn bản HTML.
И в поле с именем "%1 ИмяПоля" я ввожу текущую дату	Вводит текстовое представление значения текущей даты в поле. Например "01.01.2018".	Và trong trường có tên gọi "%1 TênTrường" tôi sẽ nhập ngày hiện tại	Sẽ nhập trình bày văn bản giá trị của ngày hiện tại vào trường. Ví dụ "01.01.2018".
И в поле с именем "%1 ИмяПоля" я ввожу текущую дату и текущее время	Вводит текстовое представление значения текущей даты и времени в поле. Например "01.01.2018 12:00:00".	Và trong trường có tên gọi "%1 TênTrường" tôi sẽ nhập ngày hiện tại và thời gian hiện tại	Sẽ nhập trình bày văn bản giá trị của ngày và thời gian hiện tại vào trường. Ví dụ "01.01.2018 12:00:00".
И в поле с именем "%1 ИмяПоля" я увеличиваю значение	Увеличивает значение поля в помощью специальной кнопки	Và trong trường có tên gọi "%1 TênTrường" tôi tăng giá trị	Tăng giá trị trường bằng nút đặc biệt
И в поле с именем "%1 ИмяПоля" я уменьшаю значение	Уменьшает значение поля в помощью специальной кнопки	Và trong trường có tên gọi "%1 TênTrường" tôi giảm giá trị	Giảm giá trị trường bằng nút đặc biệt
И В последнем сообщении TestClient нет строки "%1 Нет"	Шаг позволяет проверить, что в самом новом сообщении пользователю нет указанной строки.	Và trong thông báo tiếp theo của TestClient không có dòng "%1 Không"	Bước cho phép kiểm tra, chính trong thông báo mới nhất cho người sử dụng không có dòng đã chỉ ra.
И в сообщениях пользователю нет одинаковых сообщений	Проверяет, что каждое сообщение пользователю встречается только один раз	Và trong các thông báo cho người sử dụng không có thông báo giống nhau	Kiểm tra, mỗi thông báo cho người sử dụng sẽ chỉ gặp một lần
И в таблице "%1 ИмяТаблицы" я начинаю редактирование строки	Начало редактирования строки	Và trong bảng "%1 TênBảng" tôi bắt đầu soạn dòng	Bắt đầu soạn dòng
И в таблице "%1 ИмяТаблицы" я перехожу на один уровень вверх	Переход на один уровень вверх в списке в режиме "Иерархический список"	Và trong bảng "%1 TênBảng" tôi chuyển lên lớp trên	Chuyển đến lớp trên trong danh sách ở chế độ "Danh sách phân nhánh"
И в таблице "%1 ИмяТаблицы" я перехожу на один уровень вниз	Переход на один уровень вниз в списке в режиме "Иерархический список"	Và trong bảng "%1 TênBảng" tôi chuyển xuốn lớp dưới	Chuyển đến lớp dưới trong danh sách ở chế độ "Danh sách phân nhánh"
И в таблице "%1 ИмяТаблицы" я перехожу на одну строку вверх	Переходим в таблице на предыдущую строку	Và trong bảng "%1 TênBảng" tôi chuyển lên dòng trên	Chuyển đến dòng trước đó trong bảng
И В таблице "%1 ИмяТаблицы" я перехожу на одну строку вверх с выделением	Переходим в таблице на предыдущую строку с выделением	Và trong bảng "%1 TênBảng" tôi chuyển lên dòng trên có tách chọn	Chuyển đến dòng trước đó trong bảng có sự tách chọn
И в таблице "%1 ИмяТаблицы" я перехожу на одну строку вниз	Переходим в таблице на следующую строку	Và trong bảng "%1 TênBảng" tôi chuyển xuống dòng dưới	Chuyển đến dòng tiếp theo đó trong bảng
И В таблице "%1 ИмяТаблицы" я перехожу на одну строку вниз с выделением	Переходим в таблице на следующую строку с выделением	Và Trong bảng "%1 TênBảng" tôi chuyển xuống dòng dưới có tách chọn	Chuyển đến dòng tiếp theo trong bảng có sự tách chọn
И в таблице "%1 ИмяТаблицы" "%2 10" строк, у которых колонка "%3 ИмяКолонки" "%4 ВидСравнения" "%5 ЗначениеКолонки"	Проверяет, что у таблицы TestClient есть указанное число строк, у которых значение в нужной колоноке сответствует заданному	Và trong bảng "%1 TênBảng" "%2 10" dòng mà trong đó có cột "%3 TênCột" "%4 DạngSoSánh" "%5 GiáTrịCột"	Kiểm tra, trong bảng TestClient có số dòng đã chỉ ra mà trong đó có giá trị tương ướng với giá trị đã xác định trong cột cần thiết
И в таблице "%1 ИмяТаблицы" в поле '%2 Заголовок поля' я ввожу значение выражения "%3 Выражение"	Вычисляет выражение и вводит результат в поле таблицы	Và trong bảng "%1 TênBảng", trong trường '%2 Tiêu đề trường' tôi sẽ nhập giá trị biểu thức "%3 Biểu thức"	Tính biểu thức và nhập kết quả vào trường bảng
И в таблице "%1 ИмяТаблицы" в поле "%2 ИмяПоля" я ввожу текст "%3 НужныйМнеТекст"	Ввод текста в поле таблицы	Và trong bảng "%1 TênBảng", trong trường "%2 TênTrường", tôi sẽ nhập nội dung "%3 NộiDungCầnThiếtChoTôi"	Nhập nội dung vào trường bảng
И в таблице "%1 ИмяТаблицы" в поле "%2 ИмяПоля" я ввожу текущую дату	Ввод текущей даты в поле таблицы	Và trong bảng "%1 TênBảng", trong trường "%2 TênTrường", tôi sẽ nhập ngày hiện tại	Nhập ngày hiện tại vào trường bảng
И в таблице "%1 ИмяТаблицы" в поле "%2 ИмяПоля" я увеличиваю значение	Увеличивает значение поля в помощью специальной кнопки	Và trong bảng "%1 TênBảng", trong trường "%2 TênTrường" tôi tăng giá trị	Tăng giá trị trường bằng nút đặc biệt
И в таблице "%1 ИмяТаблицы" в поле "%2 ИмяПоля" я уменьшаю значение	Уменьшает значение поля в помощью специальной кнопки	Và trong bảng "%1 TênBảng", trong trường "%2 TênTrường" tôi giảm giá trị	Giảm giá trị trường bằng nút đặc biệt
И в таблице "%1 ИмяТаблицы" в поле с именем '%2 ИмяПоля' я ввожу значение выражения "%3 Выражение"	Вычисляет выражение и вводит результат в поле таблицы	Và trong bảng "%1 TênBảng", trong trường với tên gọi '%2 TênTrường' tôi nhập giá trị biểu thức "%3 Biểu thức"	Tính biểu thức và nhập kết quả vào trường bảng
И в таблице "%1 ИмяТаблицы" в поле с именем "%2 ИмяПоля" я ввожу текст "%3 НужныйМнеТекст"	Ввод текста в поле таблицы	Và trong bảng "%1 TênBảng", trong trường với tên gọi "%2 TênTrường" tôi nhập nội dung "%3 NộiDungCầnThiếtChoTôi"	Nhập nội dung vào trường bảng
И в таблице "%1 ИмяТаблицы" в поле с именем "%2 ИмяПоля" я увеличиваю значение	Увеличивает значение поля в помощью специальной кнопки	Và trong bảng "%1 TênBảng", trong trường với tên gọi "%2 TênTrường" tôi tăng giá trị	Tăng giá trị trường bằng nút đặc biệt
И в таблице "%1 ИмяТаблицы" в поле с именем "%2 ИмяПоля" я уменьшаю значение	Уменьшает значение поля в помощью специальной кнопки	Và trong bảng "%1 TênBảng", trong trường với tên gọi "%2 TênTrường" tôi giảm giá trị	Giảm giá trị trường bằng nút đặc biệt
И в таблице "%1 ИмяТаблицы" из выпадающего списка "%2 ИмяПоля" я выбираю по строке "%3 ЗначениеПоля"	Выбор значения из выпадающего списка. Сначала будет ввод по строке указанного значения, затем будет выбрано первое значение из списка.	Và trong bảng "%1 TênBảng" từ danh sách sổ xuống "%2 TênTrường" tôi chọn theo dòng "%3 GiáTrịTrường"	Chọn giá trị từ danh sách sổ xuống. Ban đầu sẽ nhập theo dòng giá trị đã chỉ ra, sau đó sẽ chọn giá trị đầu tiên từ danh sách.
И в таблице "%1 ИмяТаблицы" из выпадающего списка "%2 ИмяПоля" я выбираю точное значение "%3 ЗначениеПоля"	Выбор значения из выпадающего списка. Должно быть указано точное значение	Và trong bảng "%1 TênBảng" từ danh sách sổ xuống "%2 TênTrường" tôi chọn giá trị chính xác "%3 GiáTrịTrường"	Chọn giá trị từ danh sách sổ xuống. Cần chỉ ra giá trị chính xác
И в таблице "%1 ИмяТаблицы" из выпадающего списка с именем "%2 ИмяПоля" я выбираю по строке "%3 ЗначениеПоля"	Выбор значения из выпадающего списка. Сначала будет ввод по строке указанного значения, затем будет выбрано первое значение из списка.	Và trong bảng "%1 TênBảng" từ danh sách sổ xuống với tên gọi "%2 TênTrường" tôi chọn theo dòng "%3 GiáTrịTrường"	Chọn giá trị từ danh sách sổ xuống. Đầu tiên, sẽ nhập theo dòng giá trị đã chỉ ra, sau đó sẽ chọn giá trị đầu tiên từ danh sách.
И в таблице "%1 ИмяТаблицы" из выпадающего списка с именем "%2 ИмяПоля" я выбираю точное значение "%3 ЗначениеПоля"	Выбор значения из выпадающего списка	Và trong bảng "%1 TênBảng" từ danh sách sổ xuống với tên gọi "%2 TênTrường" tôi chọn giá trị chính xác "%3 GiáTrịTrường"	Chọn giá trị từ danh sách sổ xuống
И в таблице "%1 ИмяТаблицы" поле "%2 ИмяПоля" имеет значение "%3 ЗначениеПоля"	Проверка значения поля (ячейки) текущей строки таблицы	Và trong bảng "%1 TênBảng" trường "%2 TênTrường" có giá trị "%3 GiáTrịTrường"	Kiểm tra giá trị trường (ô) dòng hiện tại của bảng
И В таблице "%1 ИмяТаблицы" поле "%2 ИмяРеквизита" доступно	Проверка доступности элемента таблицы	Và Trong bảng "%1 TênBảng" trường "%2 TênMụcTin" được phép	Kiểm tra tính khả dụng của phần tử trong bảng
И В таблице "%1 ИмяТаблицы" поле "%2 ИмяРеквизита" доступно не только для просмотра	Проверка установленного флага "Только просмотр" для реквизита в таблице	Và Trong bảng "%1 TênBảng" trường "%2 TênMụcTin" được phép không chỉ để xem	Kiểm tra hộp kiểm đã thiết lập "Chỉ xem" đối với mục tin trong bảng
И В таблице "%1 ИмяТаблицы" поле "%2 ИмяРеквизита" доступно только для просмотра	Проверка установленного флага "Только просмотр" для реквизита в таблице	Và Trong bảng "%1 TênBảng" trường "%2 TênMụcTin" được phép chỉ để phép	Kiểm tra hộp kiểm đã thiết lập "Chỉ xem" đối với mục tin trong bảng
И В таблице "%1 ИмяТаблицы" поле "%2 ИмяРеквизита" не доступно	Проверка не доступности элемента таблицы	Và Trong bảng "%1 TênBảng" trường "%2 TênMụcTin" không được phép	Kiểm tra tính không khả dụng của phần tử trong bảng
И В таблице "%1 ИмяТаблицы" поле с именем "%2 ИмяПоля" доступно только для просмотра	Проверка установленного флага "Только просмотр" для реквизита в таблице	Và Trong bảng "%1 TênBảng" trường có tên gọi "%2 TênTrường" được phép chỉ để xem	Kiểm tra hộp kiểm đã thiết lập "Chỉ xem" đối với mục tin trong bảng
И в таблице "%1 ИмяТаблицы" поле с именем "%2 ИмяПоля" имеет значение "%3 ЗначениеПоля"	Проверка значения поля (ячейки) текущей строки таблицы	Và trong bảng "%1 TênBảng" trường có tên gọi "%2 TênTrường" có giá trị "%3 GiáTrịTrường"	Kiểm tra giá trị trường (ô) dòng hiện tại của bảng
И В таблице "%1 ИмяТаблицы" поле с именем "%2 ИмяРеквизита" доступно	Проверка доступности элемента таблицы	Và Trong bảng "%1 TênBảng" trường có tên gọi "%2 TênMụcTin" được phép	Kiểm tra tính khả dụng của phần tử trong bảng
И В таблице "%1 ИмяТаблицы" поле с именем "%2 ИмяРеквизита" доступно не только для просмотра	Проверка установленного флага "Только просмотр" для реквизита в таблице	Và Trong bảng "%1 TênBảng" trường có tên gọi "%2 TênMụcTin" được phép không chỉ để xem	Kiểm tra hộp kiểm đã thiết lập "Chỉ xem" đối với mục tin trong bảng
И В таблице "%1 ИмяТаблицы" поле с именем "%2 ИмяРеквизита" не доступно	Проверка не доступности элемента таблицы	Và Trong bảng "%1 TênBảng" trường có tên gọi "%2 TênMụcTin" không được phép	Kiểm tra hộp kiểm đã thiết lập "Chỉ xem" đối với mục tin trong bảng
"И в таблице ""%1 ИмяТаблицы"" текущая строка равна:
	| ИмяКолонки1 | ИмяКолонки2 |
	| Значение1 | Значение2 |"	Проверяет, что таблица TestClient стала равна таблице Gherkin	"Và trong bảng ""%1 TênBảng"" dòng hiện tại bằng:
 | TênCột1 | TênCột2 |
 | GiáTrị1 | GiáTrị2 |"	Kiểm tra, bảng TestClient đã bằng bảng Gherkin
И в таблице "%1 ИмяТаблицы" я активизирую поле "%2 ИмяПоля"	Активизирует поле таблицы	Và trong bảng "%1 TênBảng" tôi kích hoạt trường "%2 TênTrường"	Kích hoạt trường bảng
И в таблице "%1 ИмяТаблицы" я активизирую поле с именем "%2 ИмяПоля"	Активизирует поле таблицы	Và trong bảng "%1 TênBảng" tôi kích hoạt trường với tên gọi "%2 TênTrường"	Kích hoạt trường bảng
И в таблице "%1 ИмяТаблицы" я выбираю значение реквизита "%2 ИмяРеквизита" из формы списка	Выбор значения реквизита из выпадающего списка	Và trong bảng "%1 TênBảng" tôi chọn giá trị mục tin "%2 TênMụcTin" từ biểu mẫu danh sách	Chọn giá trị mục tin từ danh sách sổ xuống
И в таблице "%1 ИмяТаблицы" я выбираю значение реквизита с именем "%2 ИмяРеквизита" из формы списка	Выбор значения реквизита из выпадающего списка	Và trong bảng "%1 TênBảng" tôi chọn giá trị mục tin có tên gọi "%2 TênMụcTin" từ biểu mẫu danh sách	Chọn giá trị mục tin từ danh sách sổ xuống
И в таблице "%1 ИмяТаблицы" я выбираю текущую строку	Выбор текущей строки с указанием таблицы	Và trong bảng "%1 TênBảng" tôi chọn dòng hiện tại	Chọn dòng hiện tại có chỉ ra bảng
И в таблице "%1 ИмяТаблицы" я выделяю все строки выше текущей	Выделяет в таблице все строки выше данной	Và trong bảng "%1 TênBảng" tôi chọn tất cả dòng phía trên dòng hiện tại	Tách chọn trong bảng tất cả các dòng trên dòng này
И в таблице "%1 ИмяТаблицы" я выделяю все строки ниже текущей	Выделяет в таблице все строки ниже данной	Và trong bảng "%1 TênBảng" tôi chọn tất cả dòng phía dưới dòng hiện tại	Tách chọn trong bảng tất cả các dòng dưới dòng này
И в таблице "%1 ИмяТаблицы" я добавляю строку	Добавление строки	Và trong bảng "%1 TênBảng" tôi thêm dòng	Thкm dтng
И В таблице "%1 ИмяТаблицы" я завершаю редактирование строки	Завершение редактирования строки	Và Trong bảng "%1 TênBảng" tôi hoàn tất soạn dòng	Hoàn tất soạn dòng
И в таблице "%1 ИмяТаблицы" я изменяю флаг "%2 ИмяФлага"	Изменяет текущее состояние флага	Và trong bảng "%1 TênBảng" tôi thay đổi hộp kiểm "%2 TênHộpKiểm"	Thay đổi trạng thái hiện tại của hộp kiểm
И в таблице "%1 ИмяТаблицы" я изменяю флаг с именем "%2 ИмяФлага"	Изменяет текущее состояние флага	Và trong bảng "%1 TênBảng" tôi thay đổi hộp kiểm có tên gọi "%2 TênHộpKiểm"	Thay đổi trạng thái hiện tại của hộp kiểm
И В таблице "%1 ИмяТаблицы" я нажимаю кнопку выбора у реквизита "%2 ИмяКолонки"	Нажатие кнопки выбора у реквизита в таблице	Và Trong bảng "%1 TênBảng" tôi nhấn nút chọn trong mục tin "%2 TênCột"	Nhấn nút chọn trong mục tin của bảng
И В таблице "%1 ИмяТаблицы" я нажимаю кнопку выбора у реквизита с именем "%2 ИмяКолонки"	Нажатие кнопки выбора у реквизита в таблице	Và Trong bảng "%1 TênBảng" tôi nhấn nút chọn trong mục tin có tên gọi "%2 TênCột"	Nhấn nút chọn trong mục tin của bảng
И В таблице "%1 ИмяТаблицы" я нажимаю кнопку очистить у поля "%2 ИмяКолонки"	Нажатие кнопки очистить у поля в таблице	Và Trong bảng "%1 TênBảng" tôi nhấn nút xóa trong trường "%2 TênCột"	Nhấn nút xóa trong trường của bảng
И В таблице "%1 ИмяТаблицы" я нажимаю кнопку очистить у поля с именем "%2 ИмяКолонки"	Нажатие кнопки очистить у поля в таблице	Và Trong bảng "%1 TênBảng" tôi nhấn nút xóa trong trường với tên gọi "%2 TênCột"	Nhấn nút xóa trong trường của bảng
И в таблице "%1 ИмяТаблицы" я нажимаю на кнопку "%2 Добавить"	Нажимает на кнопку таблицы. Кнопка ищется по заголовку.	Và trong bảng "%1 TênBảng" tôi nhấn nút "%2 Thêm"	Nhấn nút của bảng. Nút được tìm kiếm theo tiêu đề.
И в таблице "%1 ИмяТаблицы" я нажимаю на кнопку с именем "%2 Добавить"	Нажимает на кнопку таблицы. Кнопка ищется по имени.	Và trong bảng "%1 TênBảng" tôi nhấn nút có tên gọi "%2 Thêm"	Nhấn nút của bảng. Nút được tìm kiếm theo tên gọi.
И в таблице "%1 ИмяТаблицы" я перехожу к первой строке	Переход к первой строке данной таблицы	Và trong bảng "%1 TênBảng" tôi chuyển đến dòng đầu tiên	Chuyển đến dòng đầu tiên của bảng này
И в таблице "%1 ИмяТаблицы" я перехожу к последней строке	Переход к последней строке данной таблицы	Và trong bảng "%1 TênBảng" tôi chuyển đến dòng cuối cùng	Chuyển đến dòng cuối cùng của bảng này
И в таблице "%1 ИмяТаблицы" я перехожу к предыдущей строке	Переход к предыдущей строке данной таблицы	Và trong bảng "%1 TênBảng" tôi chuyển đến dòng trước đó	Chuyển đến dòng trước đó của bảng này
И в таблице "%1 ИмяТаблицы" я перехожу к предыдущей ячейке	Переходит к предыдущей ячейки таблицы	Và trong bảng "%1 TênBảng" tôi chuyển đến ô trước đó	Chuyển đến ô trước đó của bảng này
И в таблице "%1 ИмяТаблицы" я перехожу к следующей строке	Переход к следующей строке данной таблицы	Và trong bảng "%1 TênBảng" tôi chuyển đến dòng tiếp theo	Chuyển đến dòng tiếp theo của bảng này
И в таблице "%1 ИмяТаблицы" я перехожу к следующей ячейке	Переходит к следующей ячейки таблицы	Và trong bảng "%1 TênBảng" tôi chuyển đến ô tiếp theo	Chuyển đến ô tiếp theo của bảng này
"И в таблице ""%1 ИмяТаблицы"" я перехожу к строке по шаблону
 |'Наименование'|
 |'*ЧастьСтроки*'|"	Переход к строке таблицы, когда в значении колонок встречаются символы *	"Và trong bảng ""%1 TênBảng"" tôi chuyển đến dòng theo khuôn mẫu
 |'TênGọi'|
 |'*PhầnDòng*'|"	Chuyển đến dòng của bảng, khi trong giá trị của ô bắt gặp ký tự *
